users	status	date	clean_log	i
MTMAN2	Found it	10/19/2010	I planned a day of geocaching around Sharon Woods Park and thought I'd just "poke around" on this puzzle. Surprised myself to solve it within 5 minutes! I was glad to be able to claim a smiley on this one first today! Working on getting my puzzle numbers up! TFTC!	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
BIG Mama K	Write note	9/24/2010	Oh MY Gosh solved this one in first try easiest I've ever solved..will have to come back to grab had to hurry to work today..	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
SgtJP068	Found it	9/11/2010	Got here just before the rain hit. TFTPC	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Folboter JAF	Found it	6/17/2010	Had a few minutes to kill between appointments, so made my second try for this one. Last time I was in the area there was a survey crew at gz, so I passed. This was a creative puzzle by a good friend. TFTPC!	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
cache_n_out	Found it	6/11/2010	.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Folboter JAF	Write note	5/21/2010	Decided to log notes for puzzles I've solved, so now I'm playing catch up on logging ones I've solved at some point but haven't yet been in the area to find. Puzzle is solved and in the "to-be-found" basket. Will go after this one next time I'm in the area. TFTPC!	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
City Slicker	Found it	4/2/2010	In the area on business. Had a few minutes to kill, so I grabbed a few caches. I waved as I went by.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Rynloh	Found it	3/26/2010	Finally got the time to check this one off my list. Nice hide.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Rynloh	Write note	2/4/2010	Got the coords for the cache and will head out when I get the time.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
cache_n_out	Write note	11/11/2009	Note: some of the links on this page are broken for now. But the link you need still works. So the puzzle got a little easier! [This entry was edited by cache_n_out on Sunday, January 24, 2010 at 4:25:02 PM.]	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
jcklm	Found it	8/21/2009	Out trying to catch up on finds for solved puzzles. Good hide. TFTC	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
tmbrrun	Found it	6/19/2009	Made an early run due to the weather uncertainty. Cache is just fine. Can't believe you did that to us in public and all. TFTH	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
tmbrrun	Write note	6/12/2009	Success, will grab on the way to the OKIC Picnic next week-end.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
DLiming	Found it	2/28/2009	Had this one solved for awhile now and tried to find it a couple days ago. My navigator looked for it then, wasn't to comfortable looking for it due to it's location. We went back today and my youngest crew member and myself looked. We found it and had it signed without being noticed I think, but with this location one never knows. I am was not comfortable looking for this one either felt way to exposed. Thanks for the cache. DLiming	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Sommer Family	Found it	2/20/2009	Do you know what it's like to be tormented by your elders? That's what this puzzle did to me. Tormented me. Tortured me. Caused sleepless nights. Woke me up in a cold sweat. Made me question my abilities and caused a mild form of depression. Those are not even the worst / most embarrassing thing that I had happen to me. The final straw was when Col Mustard (upon him finally solving this puzzle) taunted me with this comment: "Never send a boy to do a MAN's job." All in good fun. Great puzzle! Tormenting, but great. A little bonus for me with the final hide location. TFTC.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
littlepod	Found it	2/15/2009	Tried reading some Tolstoy but that didn't seem to help. TFTC.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
goltzene	Found it	2/13/2009	Evil very EVIL puzzle. I liked the hide though! TFTP Mike	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
tomturtle	Found it	2/9/2009	Solved the puzzle last week, but found it today. I'm not sure I liked the puzzle or the hiding spot, but I know I liked getting the smiley. Thanks for bringing me here. TNLNSL. TFTC #5103	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Col Mustard	Found it	2/8/2009	Sometimes you get inspiration from the least expected places. As I was watching TV the last night, and ad came on and provided the connection I needed to break through the log jam. I can't reveal more for it could be a spoiler, but here are some words to ponder: Tolstoy said: The two most powerful warriors are patience and time. Col Mustard said: Old age and trickery will win over youth and skill every time. Col Mustard is old (60+), has a few tricks (check my cache offerings), has time (he's retired), and sometimes is patient, and although Tolstoy is even older, his imposter is youthful, and certainly skilled. Enough said And since you like the childhood games: Tag, Your It !! This a very evil and yet clever puzzle. It was/is challenging. Good luck to those yet attempting it. Congrats to owner on achieving a new found level of evildom. I look forward to more. TFTPC [This entry was edited by Col Mustard on Sunday, February 15, 2009 at 11:13:05 AM.]	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
flip/flop girlz	Found it	1/31/2009	Got a call to go retrieve this cache with Lighthouse Keepers. Off we went! She was really happy when she heard that the log was empty. It's nice to end January with this FTF. SL TFTC	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
lighthouse keepers	Found it	1/31/2009	FTF! Another team effort with Flip/Flop Girlz. It was a treat to be ftf on a puzzle that had me stumped for such a long time....thanks to flop for retrieving the cache...and..it is not an easy place to be inconspicuous SL TFTC	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
lighthouse keepers	Write note	1/30/2009	aha!!!....can't believe it but I figured it out...this was some puzzle and it took me hours and hours....now all Ihave to do is find it!!! Thanks for the challenge Dan!!	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
lighthouse keepers	Write note	1/30/2009	have all the time in the world to work on this puzzle in that I'm taking care of a friend with a hip replacement....recovery time is about 4-5 weeks....at the rate I'm going she will be out and about and I'll still be working on this...but,...as a good friend of mine always says...no one says you have to do the puzzle caches....:)....	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
ms scarlet	Write note	1/30/2009	You're right. This puzzle is hard. It may even be a "5"!	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Keystone	Publish Listing	1/13/2009	Published	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Greybeast	Archive	11/1/2012	This cache as been removed due to new land owner !!	https://www.geocaching.com/geocache/GC2YDGW_old-nigadoo-mine
rrmjp	Found it	10/29/2011	another one found	https://www.geocaching.com/geocache/GC2YDGW_old-nigadoo-mine
fergy05	Found it	8/13/2011	TFTC, MPLC Mysterious place... doesn't seem like were in Nigadoo its fun to see place like these near you but not very fun to see all the trashes people dump around it...	https://www.geocaching.com/geocache/GC2YDGW_old-nigadoo-mine
Tracker@230	Found it	6/24/2011	TFTC nice hide and a messy area didnt even know this was here amazing thanks for bringing me here -SL	https://www.geocaching.com/geocache/GC2YDGW_old-nigadoo-mine
pitrisss1	Found it	6/23/2011	My first FTF. Found it with my 19 month old son(he stayed in the car but I say it's a first geocache for him). TFTC. SL. Nice cache.	https://www.geocaching.com/geocache/GC2YDGW_old-nigadoo-mine
CacheShadow	Publish Listing	6/22/2011	Published	https://www.geocaching.com/geocache/GC2YDGW_old-nigadoo-mine
commander overlord	Found it	12/12/2019	Finding an Earthcache that also has historical significance is a twofer I like finding. It was nice that the weather cooperate to rise somewhat above freezing for a few hours today so I could enjoy finding and collecting the required information. TFTEC	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Jeepers-gasfree	Found it	12/7/2019	Joyful Noise wanted to go on an adventure, and who am I to stand in her way. (Ok, I drove). Heading down into West Central Indiana to find a waterfall, a cave, and an arch, we digressed into a shameless county run, expending an entire day and an excessive amount of gas. Oh well. Lots of fun anyway. Favorite point for bringing us to an interesting place of local history and geological features. Please see Joyful Noise's replies to the Earthcache questions.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Joyful Noise	Found it	12/7/2019	Last night, I told Jeepers-GasFree that I wanted to go for a hike in the woods and find waterfalls and caves. And so we looked up where we could do a day trip and headed south for a day trip. Along the way, we got a cache in every county we drove through (and drove through a few counties just to get a cache!). We also met up with some old friends and, of course, found a waterfall and a cave. This was our cave for the trip. Not sure it was quite a cave... Perhaps more like a cubby. But it was an interesting place and we enjoyed exploring it.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
ernurse21	Write note	11/17/2019	Forgot to post pic	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
ernurse21	Found it	11/17/2019	Loved this. What a neat formation so close to the road! Answers sent to CO	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
lyriclass	Found it	10/13/2019	It was surprising to see such a great feature here at the side of the road. Londonwesty sent in our answers. TFTC	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
TiggerlovesPooh	Found it	10/12/2019	Very neat cave, never knew it was here. Great EarthCache!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
londonwesty	Found it	10/10/2019	On a Cache Canada road trip with lyriclass to Chicago, Milwaukee and southern Indiana. Love ECs and our other hobby is War of 1812 reenacting. We were stopping along the way to Mississinewa 1812. TFTH	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
haines3	Found it	7/30/2019	We sent the answers. Found another cave first then found this amazing cave	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Spacedoc & Smoky	Found it	4/10/2019	Today I had a bit time to cache. This earthcache was one of the caches I made. Thanks for this great earthcache and showing me this place. The answers are sent. Greetings from Germany !	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
CovertOps74	Found it	4/6/2019	I just picked up my new Jeep Oscar Mike edition and what better way to break it in than do a little caching with Place UR Betz!?!? Thanks for the cool Earthcache! Answers were sent by Place UR Betz.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Place UR Betz	Found it	4/6/2019	CovertOp74 just bought a cache mobile!!!! We are super excited! First cache trip (From Greencastle) in the new geomobile! We had a great time climbing all over the rocks! Thanks for the cache! Answers have been sent.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Vamtrix	Found it	4/1/2019	6899 ☝️😎👍 Thanks for the educational experience. Answers sent.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
djkfisher	Found it	9/19/2018	Out from Bend Oregon for a little a little work and a little caching. Thanks so much to all the cacher’s that have placed these smiles for all to find. Very nice and I Messaged the ECO all the questions and answers;) We are Geocaching the world one cache at a time!  May the wind be at your back and the sun shine warm upon your face! Found on my iPhoneX using the Cachly APP	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
cwlinedancer	Found it	7/3/2018	Completed today with DG49. Always enjoy doing and learning from EC’s. In the area visiting friends as part of our summer RVing adventure. TFTEC!!!!!!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
DiamondGirl49	Found it	7/3/2018	Found it with CWLD. Tftec	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
lantzsax	Found it	7/1/2018	Easy stop, muggle just hanging out, fortunately we could just play it off as doing a report on the geology of the region! Nice shady spot in this hot July day!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Team sissifalke	Found it	5/25/2018	Midwest Tour through America After arriving at Cincinnati airport, we‘ve started out trip through mid-west USA Our first stop was at Louisville before we continued towards Evansville, Saint-Louis, Kansas City all the way to Denver- Skyline of the Rocky Mountains. We’ve stayed in Colorado for a couple of days and drove to the Rocky Mountains to Mount Evans and past the beautiful Echo lake. We took the historic steam train in Georgetown to explore the Rocky Mountains – what an unforgettable experience. We’ve visited the open air arena in Red Rock Park and have informed ourselves about the historic and musical past of this area. We soon had to leave beautiful Denver to continue further towards the north Via Golden, Fort Collins, Cheyenne. We’ve took a bit of time to hike through the Toadstoll Geological Park- beautiful hiking destination. We’ve crossed the border to South Dakota and visited the many sights along the way - Hot Springs in the Black Hills, Wind Cave NP, Jewel NP, Grazy Horse NP, Custer-State-Park – we were even able to spot some wild bison’s there. We’ve then continued our tour towards Sylvan lake along the panorama road -“Needles Highway”. This windy road leads to needles past the many pine forests along the way. Continuing further towards the Rushmore National Memorial. We then weren’t far away from rapid city or the city of the presidents where we took part of an impressive sightseeing tour where we got to see 43 bronze statues of all of the US former presidents. We took a quick detour to South Dakota before we continued towards the south towards the Badlands NP – a plateau with edged mountains, deep canyons and steep cliffs – impressive to look at. After we have left the Badlands, we continued towards Mitchell along the Highway 90. We visited the corn place with its special artefacts and paintings made out of corn. The next days are leading us back again towards the east towards Sioux Falls. We saw many sights here for example the Sioux Waterfalls, Old Courthouse etc We went shopping at Spirit lakes before continuing towards Minnesota. We also went shopping in the Bloomington Mall of America. We went for a city stroll in Minneapolis visiting the many parks near the Saint Anthony Falls and the Washburn A Mill. We have visited the cathedral of Saint Paul and the Minnesota State Capitol. We left Minnesota after Saint Paul and have crossed the border to WISCONSIN continuing towards Madison to see the State Capital. We have visited the famous Harley-Davidson-Museum in Milwaukee. We collected a number of Petoskey stones while strolling around north Michigan Lake. These stones are unique to this region. We are now continuing towards Chicago where we will spend a couple of days as well. We’ve done a bit of shopping and got to know about the skyscraper history. The first skyscrapers were built in the 80s and 90s. One of the most impressive ones is the trump tower directly at the Chicago River. The facade mirrors the Wrigley Building and the Chicago Tribune Tower. We then had to say bye to Chicago after a couple of days. We then continued towards Gary (INDIANA) and New Buffalo (Michigan). We have covered 3 states: Eck Michigan, Indiana and Ohio We now have to go back towards Indianapolis where the legendary race took place. We have also planned a visit to the Hall of Fame Museum before going back to Cincinnati. Going to the GIGA event: We have met many friendly cachers and we have talked about our mutual hobbies and our trip in and around Cincinnati. We have covered approx. 4000 miles and have experienced a lot. Everyone was very welcoming and helpful as well. Thank you to all the owners for placing and maintaining the caches. Best greetings from Bavaria Team sissifalke	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Hack1of2	Found it	5/24/2018	On our way from Wisconsin to Geowoodstock with WisJanine and this challenge cache was on the way. Answers being sent. TFTEC!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
TeamJanine&Jon	Found it	5/24/2018	We are traveling from the Milwaukee, Wisconsin area to the Cincinnati Ohio area to attend Geowoodstock 2018. We have been looking forward to our trip for quite some time, and in anticipation, we solved some geo-mystery caches and identified a lot of non-traditional caches that we would like to find on our trip to Geowoodstock, throughout Indiana, Ohio and Kentucky. We left home at about 8:30 AM Milwaukee time, with our friends Hack1of2, and arrived at our hotel at 11:40 PM Kentucky time - so, adjusting for the time zone change, that makes about 14 hours of driving and geocaching. In all cases, the logsheets were signed and the caches were rehidden as we found them. Where Challenge caches were found, we noted that we did qualify for them and one can check our public profile for verification. For Virtual caches and Earthcaches, answers have already been sent to the cache owner and photos have been added to our logs, where required. We enjoyed our stop here. Answers have been sent. We will add a photo to show our caching group at ground zero. Thanks to all of the cache owners for the nice caches and the fun, full day of geocaching!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Sloth89	Found it	5/19/2018	This was awesome!! I love this location and learning some history!! Thanks so much!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
b7714	Found it	5/19/2018	This was beautiful! We made our way in just a little ways. It's fascinating to know the history of a little spot like this. We are going to be back! Thanks for the cache, answers will be sent by myself or Sloth89. Find 359!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
IndyMagicMan	Found it	4/27/2018	I've been to this area before but first time I've explored this location. It's fantastic.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
TriGamma	Found it	4/25/2018	The was our first time here. It was nice to find a couple of parking places and the daffodils blooming nearby. The area was interesting and it was easy to imagine an Indian gathering. The large tree to the right of the cave may well have been present at such gatherings. Answers will be sent. Thanks for creating this Earthcache.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
mockingbird94	Found it	3/31/2018	Convenient how the other EarthCache drops you off here. This was a pretty fun site with good information. Hope my answers are good enough. Thanks for bringing me here!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
thekingofbattle	Write note	3/23/2018	Just a quick visit to dip my new EarthCaching TB...looking to determine all of the amazing EarthCaches I've been to so far while caching and the distance in between!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
M&Dturners	Found it	3/12/2018	Visited this earth cache just as dusk was falling. Made our way to the regular geocache (without success) and had no time to grab the other earth cache at this location. Thanks for bringing us here on our 33rd wedding anniversary. Answers will be sent when we get back to wifi access.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Hahnchenflugel	Found it	2/26/2018	Very cool earth cache. Always enjoy coming back to this location.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
cluehunter	Found it	12/3/2017	Cool area for a earthcache, answers sent.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
sgerbs	Found it	12/2/2017	I set out today to grab some new counties by finding Virtuals, Earthcaches and whatever else piqued my interest. I had a great day of exploring so many different places and experiencing the beauty of this area. I drove over the Wabash River so many times that I just started to assume all rivers were the Wabash River. It really was a good day. I've driven by on the highway many times and have wanted to get over here and explore a bit. Today I had the chance to walk around this area and check out the caves. Thanks for bringing me here. TFTC.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
The Big Macs	Found it	11/19/2017	A great day to cache and add some earthcaches...Kids were a bit disappointed when I told them they were EC's, but they soon forgot there was no container as this was a very cool location and fun to explore...Email sent. Thank you	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
lowcash2012	Found it	10/8/2017	I am sending my answers in a message, tftc!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Blues Crew	Found it	9/25/2017	Out on a VERY HOT September day. Thanks for sharing your cache!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
ryanandericaholm	Found it	9/3/2017	TFTC	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
OCCD	Found it	8/19/2017	People, chained by monotony, afraid to think, clinging to certainties… they live like ants. – Bela Lugosi Get up. Shower. Get Dressed. Have Coffee. Eat the same bagel with cream cheese. Do your commute. Go to your job. Spend the day doing the same job you did yesterday. Punch out. Commute Home. Dinner. TV. Sleep. Do it all again tomorrow. There’s a certain security in a steady schedule, but too much of the same thing gets you stuck in a rut and the monotony can just plain kill you. When was the last time you took a day to do something spontaneous? Have you varied your day to day path by even a little? Break the Monotony Day reminds us that sometimes change is good, and changing our daily routine can really make all the difference. Guess what? Breaking the Monotony Day also falls on International Geocaching Day. So, like every geocacher ever I'm going to use multi-million dollar satellites to find Tupperware in the woods. I knew I was going to be caching today in Indiana. I had a specific D/T I wanted to grab. I woke up early this morning and discovered an International Celebration. Like I say "There's always a cache on the way to a cache if you're not on a timeline". So, I decided to stop by and support the international theme. I ordered Columbian coffee, and Belgium waffles topped with Canadian maple syrup. Well, maybe the syrup wasn't from Canada. Breakfast was good and so were the conversations, then it was on to the cache that brought me here. The good news about caching solo is you can go at your own pace for as long as you want grabbing whatever suits your fancy. The bad news is without a navigator you end up passing up numerous caches. Fueled throughout the day with only a bag of Craisins, an orange Tootsie Pop I found in my car console, and several bottles of water I was able to fill the last space on my D/T grid and start on the next loop. Today's finds included an Event, four EarthCaches, two Challenge caches, five traditionals, and one Virtual. Three of the caches had changes in the elevation from the parking coordinates which added to the fun. In Northwest Ohio we call changes in elevation an overpass. Not a typical numbers run with only thirteen finds in twenty hours, but today was anything but monotonous, dull, or lacking in variety. TFTC.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
thekingofbattle	Found it	7/16/2017	Ugh...I'm "forced" to give this EC a favorite point...I love history...so by pairing an EC with a bit of history...well, FP awarded. Really though, I enjoyed working on this EC...brought me to a place that I might not really go to (despite being connected with a historical event). Most likely, I would have driven down the highway, not knowing that this event happened at this location. It was dusk though, so I had to hurry to collect the needed information (which has already been sent)...but I did have the place to myself...always a bonus!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
shan7on	Found it	7/13/2017	Hi! I was stopping by for a nearby puzzle cache that I couldn't find a way to, and decided to add this earthcache on to my schedule. Just messaged my best answers. Day 5 of a 48 day geocaching/work trip! Happy to sign my name to a few logs along the way. Thanks for placing this cache!!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
seadog129	Found it	6/8/2017	The Seadogs are headed from Northern Virginia to Erin Hills, Wisconsin where Mrs Seadog will be volunteering at the US Open Golf Championship. Our primary focus on the way there will be Virtual Caches, Earthcaches, Wherigo caches, Unknown Challenges and some favorite caches. After doing the virtual and earthcache at Tippecanoe Battlefield, Mrs Seadog noticed these side by side earthcaches on our way back to the highway. After walking up the hill to find the spring we ended up at the cave to finish the Spring earthcache and then do this neat cave earthcache. Thanks for having us visit. email on the way. tftc!!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
palestar	Found it	5/25/2017	Found this while out caching with team16traxx. Enjoyed the weekend at Prophetstown State Park while attending the Geocaching Indiana Spring Picnic. TFTC	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
team16traxx	Found it	5/21/2017	Staying the weekend at prophetstown sp. Doing some caching with palstar before I head home.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
WeMightBeGiants	Found it	5/20/2017	TFTEC Found this one while in the area attending Indiana Geocaching Spring Picnic. Answers have been sent.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Hueymom	Found it	5/20/2017	TFTC.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
turbobadgers	Found it	5/6/2017	Wow, we've been living in the area for more than two years without visiting this beautiful place. Now we finally had time. The climb was interesting and exploring the cave was lots of fun. TFTC	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
ejschoon	Found it	2/21/2017	Thank you	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Lindy4	Found it	2/4/2017	Out caching with rm22kern today grabbing lots of EC'S, challenges, virtuals, and a few new counties. Thanks for the fun. Rm22kern will be sending answers. Thanks for the cool EC.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
rm22kern	Found it	2/4/2017	Thank You for this EarthCache, had a lot of history here.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
brcross95	Found it	1/18/2017	I was headed up to South Bend today to place flowers at my mom's grave and made a stop in the Peru area for The Gauntlet, another puzzle, and an earthcache. Then on the way home I decided to detour off 31 and head towards Lafayette to get the last 4 virtuals I needed in order to complete all the virtuals for the state. By the way, mission complete! This was the last EC for the day before heading to Purdue for the virtuals. Took some pictures and sent my answers. Thanks for teaching me something new today. You rock!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Oldbarn	Found it	11/25/2016	Found with LZ33 and BigBob88 on this day after Thanksgiving 2016. Was out getting the geo-Jeep muddy. LZ33 sent the answers to the CO. TFTC!!! - OldBarn	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
LZ33	Found it	11/25/2016	Another neat earthcache that we get to explore. I bet there were a lot of different nationalities in our past history to use this cave.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
happybobodog	Found it	10/15/2016	Found with CherokeeSarah today. She sent our answers. :)	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
CherokeeSarah	Found it	10/15/2016	Pretty slick climb today. I will email you our answers. Out today trying to do a road trip up north. I say "trying" because we got waylaid by traffic congestion from Franklin through Indianapolis. We may not make it nearly as far north as we had hoped. The weather has cleared off to be very nice right at the moment. We have also wasted a bunch of time trying to find the entrance to Prophetstown State Park. We decided to grab a few nearby, so as not to waste the entire day. Today is day #491 of my geostreak. My goal is set on day #500. So Lord willing and the creek don't rise I should be able to make it. Unless otherwise noted the caches are in good shape. Thank you for the hides and all you do for the game. :D	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
rick & lucy	Found it	10/9/2016	Thanks	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
rick & lucy	Write note	10/9/2016	Here is our pic and we will send the answers later. Thank you.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
Zombie Freaks	Found it	10/9/2016	Found it and sending answers within a day or two. Thanks for the cache! We were out with Rick & Lucy.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
clumzyfly	Found it	7/30/2016	Been near hear hundreds of times, finally stopped to take a look.	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
tfc0869	Found it	7/25/2016	Very interesting place!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
lady_xythis	Found it	5/8/2016	Awesome!	https://www.geocaching.com/geocache/GC256FJ_prophets-rock-cave-earthcache
