users	status	date	clean_log	i
Omnipresent	Found it	5/19/2007	What a nifty idea! Introduced our Muggle neighbour to caching with this one, and I think she's impressed. (She's 12-it's harder to impress them...) TNLN, only because we had nothing to L. TFTC! Team Omnipresent, plus 2.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Crazzy Coop	Found it	5/17/2007	I had to be cafull because on the day i went out to find it a soocar game was going on so i had to make sure nobody was waching me.This one kid woldent leav me alone but i finally got him to go away nice hide my grampa couldent find it.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Algonquin Bound	Found it	5/17/2007	This was tough, as there were junior muggles playing all around us as we hunted. Nice little hide.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
The Niagaran	Found it	5/16/2007	Nice little spot. TNLanimal pack.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Team Deejay	Found it	5/16/2007	Woohoo! I came all the way to Brantford from Wisconsin just to find this cache. OK, not really. Actually it was just our first find in Canada. So....Woohoo! Nice job on the container. TFTC!	https://www.geocaching.com/geocache/GC12K71_woodland-twins
the schefs	Found it	5/14/2007	Yay-our first find! Can't wait to do more! Great job Cavin's! Thanks for the laughs and your help! The Schef's	https://www.geocaching.com/geocache/GC12K71_woodland-twins
delliott33	Found it	5/12/2007	Nice hide, but fairly easy find. Took cache to a spot nearby where I could sit and not look suspicious to the dog walkers and children. Took something squishy, and left a bouncy ball. TFTC	https://www.geocaching.com/geocache/GC12K71_woodland-twins
BlackwoodBunch	Write note	5/8/2007	Dropped off Texas Rubic's Cube.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
searchersarah	Found it	5/8/2007	Found it with Blackwood Bunch on our lunch break. Was a nice sunny day. Great Park!! did not know it existed. It was an easy find.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
BlackwoodBunch	Found it	5/8/2007	Found with SearcherSarah on our lunch hour - a nice walk in the park, but was a little more difficult with the children playing outside at the nearby school. TN Left TB. Thanks a Bunch!	https://www.geocaching.com/geocache/GC12K71_woodland-twins
PumpkinOneA	Found it	5/5/2007	Quick find nice little park.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
The Hummers	Found it	5/5/2007	Nice park and lots of soccer muggles around, but we managed to walk about with no one taking any particular notice. Great cache hide. T.F.T.F.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Pasha88	Found it	5/5/2007	TFTC - Great Find, sis!!!	https://www.geocaching.com/geocache/GC12K71_woodland-twins
hamgran	Found it	5/5/2007	I love hides like this! They're lots of fun. Many muggles out and about on such a beautiful spring morning. Thanks, - hamgran	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Buttons.	Found it	5/5/2007	First stop of our day. Sure glad it was the weekend. Nice hide. Can't believe no one was out playing in the park. Thanks for the cache. Buttons and Beaux.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Rain_Beaux	Found it	5/4/2007	First stop of our day. Sure glad it was the weekend. Nice hide. Can't believe no one was out playing in the park.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Bugs-Mitch	Found it	5/2/2007	Well looks like I forgot to log this one, and it was a FTF for me as well. I was having coffee with my brother when we decided to go get this one before going to work. I didn't even have my GPS with me. Lucky I would guess, didn't find it that hard to find. It was a really nice day. enjoyed the hunt. Thanks	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Frankie & Johnny	Found it	5/2/2007	Since this is near a school and a playground we were glad we had the dogs with us. You just do not feel so conspicuous. A nice little hide - good job ! TNLNSL THANX !	https://www.geocaching.com/geocache/GC12K71_woodland-twins
THE GO GETTERS	Found it	5/2/2007	The brothers beat us again this time by 1 hr 15 min. Neat hide easy find, TNLNSL. TFTC.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
yogi-	Found it	5/2/2007	Looks like real nice day for geocaching was telling brother about this one at coffee shop the morning.Had coffee so he said lets go get this before he went to work so off we went.Same old story he beat me out on FTF with no gps did not find it to hard with the hint.Nice hide enjoyed this one early in the morning.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
CacheDrone	Publish Listing	5/1/2007	Published	https://www.geocaching.com/geocache/GC12K71_woodland-twins
MikeyCarter	Archive	8/11/2007	Cache has gone missing again. The area is to high in traffic so I'm archiving this one. I'm going to talk to CVC at a later date about putting one somewhere else.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
NorMin & Ruffy	Didn't find it	8/5/2007	NOPE! But not a complete loss, as this is such a beautiful area in here. Will be back.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Enable Listing	7/21/2007	Fixed up the cache. Hopefully it won't get muggled this time	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Temporarily Disable Listing	7/13/2007	I've temporarily disabled this cache until the cache can be put back. Thank you for noticing. Maybe I should re-think the hide if it was seen as garbage	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
carolmcclellan	Found it	7/13/2007	DO NOT LOOK FOR THIS CACHE!! My husband and I were out for a hike in the conservation area about a week ago and thinking the cache was some garbage, my husband picked it up and put it in his pocket to dispose of later. We didn't realize what it was until he gave it to me in the car on the way home... being a geographer, heavily into gis, gps and anything to do with mapping, i knew what it was as soon as i cracked it open.. not to mention i was a little upset, because i knew it was going to spoil it for whomever planted the cache! anyhow, it reminded me to check out geo-caching, which is a good thing ... we will hopefully be back in that area again so we can replant it for you guys and i will let everyone know when it is ready to be hunted again.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
Amazon Annie	Didn't find it	7/12/2007	Took a friend caching for the first time and I knew this area so I thought it would be fun. $8.50 later in park fees (I forgot my BT card in my other pack) and we came up empty. Enjoyed the walk around the area but we searched high and low, cracked the hint and still no luck. It's been quite a while since the cache has been found - hopefully someone else will come up better luck than we did. Thanks for the visit! By the way, with entrance fee you can also visit Terra Cotta Conservation Area, Island Lake Conservation Area as well as the Belfountain one on the same ticket as long as it's all in one day!	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
Buttons.	Found it	5/30/2007	I have never been in here before. Very nice little park. We ended up doing the hole loop and cross the neat bridge. We also go surveyed on our way out. Thanks for the cache. Buttons and Beaux.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
Nozzletime	Found it	5/30/2007	I have been in this park previously. We did the loop around the lake. I knew where the cache was going to be before we even got in the park. Nice to come back. We wound up being asked to do a survey, by the Credit Valley Conservation Area. Had a nice talk with one of the groundskeepers and the questionnaire gal. Thanks Nozzletime & Smudge	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
Rain_Beaux	Found it	5/29/2007	I have never been in here before. Very nice little park. We ended up doing the hole loop and cross the neat bridge. We also go surveyed on our way out.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
Rideau Rangers	Found it	5/27/2007	Narrowed down the area and then sent Ranger 4 to make the find. Glad it was quiet today. We also used our Bruce Trail card to get in, but were told that if we intended to picnic, we would have to pay, but if we were just passing through it was okay.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
ElectroQTed	Found it	5/20/2007	We've been in Belfountain before, around the time of my 100th cache in 2004. It was nice to return. We drove into the conservation area, and I flashed by Bruce Trail membership card at the gate to get in for free - membership has its privileges! We walked to the cave and had a look around. I was mistaking the entrance to the cave for what was described in the hint. I do hope this one stands the test of time, as there were kids climbing all over the insides. We finished off by crossing the suspension bridge and doing the short loop back to the parking area. Thanks for the cache. Laurie & Ted.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
rangerg10	Found it	5/20/2007	Found It.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
psychocyclist	Found it	5/18/2007	FTF @ 6:05pm I was surprised this lasted, so I came over after work. Entered via Bruce trail. Nice area, and nice hide! TFTC!	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
CacheDrone	Publish Listing	5/14/2007	Published	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	5/2/2007	Deleted Log Place Holder: GCM0B5 Moving log to save place. Finally figured out where this one was. I can see why I missed it the first time. TFTC.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	5/2/2007	Deleted Log Place Holder: GCVV7M Moving log to save place. Found a few in Oshawa that were on the bottom. So I was looking all over... and in the wrong place for this one. But found it in the end... like so obvious too. TFTC.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	11/22/2006	Deleted Log Place Holder: GCN6M2 Moving log to save place. The cachemate program cut this log off at: "Keep those pictures coming in, I love to see your smiling faces, but I nee..." So I had no idea what I needed. I took pictures of everything I could in the area, plaques, signs, falls, flags you name it. In hope what I needed would be captured in the photos. ummm direction of the water flow. Now that isn't captured by the camera... arrr. Date: Nov 22 2006, 12:37:44 Direction: looked clockwise, that I remember. For the most part it looked like it was flowing straight through.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	5/28/2006	Deleted Log Place Holder: GCM0BR Moving log to save place. I was getting eatten alive on this one. Couldn't find it with the GPS as I was swating bugs. I went on instinct and found it no problem. Thanks for the cache.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	5/28/2006	Deleted Log Place Holder: GCM0BQ Moving log to save place. This one was hidding under our nose. Figured it out now that I had the paper work.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	5/28/2006	Deleted Log Place Holder: GCM0BP Moving log to save place. Found this one. I hit ground zero and managed to find it with in the 5 Metre radius of my GPS. Cool find. Thanks.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	5/28/2006	Deleted Log Place Holder: GCM0BF Moving log to save place. I really liked this one. Wish I could have got my daughter and wife into this one. Couldn't get the buggy in. Thanks for the cache.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	5/28/2006	Deleted Log Place Holder: GCM0BN Well seems the owner changed his mind on one of my caches almost 2 years after logging it. I'm putting that log here so my stats match up. Note for future reference. Need to parse top line exactly for logs out of place.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
MikeyCarter	Found it	4/14/2006	Deleted Log Place Holder: GCM0BN Moving log to save place. We were in the area at MacDonalds. This was a good find, not to mention we had no printed material about this one. Now reading the info I like the hint. Signed the book and left a sticker behind.	https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave
GuelphHiker	Didn't find it	11/12/2011	...which explains why we couldn't find it. We had a great hike doing the caches along this trail.	https://www.geocaching.com/geocache/GC13770_the-cave
MikeyCarter	Archive	11/11/2011	Cache has been collected.	https://www.geocaching.com/geocache/GC13770_the-cave
MikeyCarter	Temporarily Disable Listing	11/8/2011	I've been asked by the Bruce trail to remove all my caches on the Bruce Trails. If anyone is in this area can you pick up the cache. Might be a while before I can get to this one.	https://www.geocaching.com/geocache/GC13770_the-cave
TEAM MYSTERY INC.	Found it	10/16/2011	A great trail and interesting cache, actually thought I was at the Dingle, but made a mistake on the GPSr, so a little confused at first looking for a stump. Soon realized we were at the Cave - good we wanted this one too. I was starting to get a bit frustrated, not much time before we had to pick up my daughter from Guides camp down the road, then I heard Radar say those magic words - Found It! Enjoyed this one today TFTC TEAM MYSTERY INC. P.S. saw the log where the Flying Fish didn't have a pen to sign the log - no worries, your in there now - Scott	https://www.geocaching.com/geocache/GC13770_the-cave
milhowzer	Found it	10/1/2011	Came to the Bruce Trail today to find the Dingle....decided to do a few more while I was here....was expecting a long rock pile search here but I surprised myself by finding it after only a couple of minutes....neatly hidden and in good shape....TFTC.	https://www.geocaching.com/geocache/GC13770_the-cave
The Flying Fish	Found it	9/25/2011	Found this one after finding Dingle. Had to look for something that seemed out of place. No pen to log my find. TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
MGGLEVADR	Didn't find it	9/14/2011	Searched all around the rock pile and came up empty. Some sort of clue to what the cache looks like would be nice.	https://www.geocaching.com/geocache/GC13770_the-cave
ptowferret	Found it	8/20/2011	I was in the area for the Dingle and enjoying the walk so I extended my journey to this cache. It took me around 15 minutes, but I finally discovered the cache hide. TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
bruce iroquoia	Found it	7/19/2011	Dropped our daughter off at the airport and continued on to find another old cache. I was after one of my Ontario Bingo Challenge GCRKRJ caches in the area and picked this additional cache up.. My wife came and enjoyed staying around the car as my backup. Parked at the southern dead end road. A great hike to find all 3 caches in this area of the Bruce Trail. The cache was dry and in good condition. Take plenty of water in the summer. TN,LN,SL TFTC Had a special visitor on the trail. A PORCUPINE was looking my way and slowly walked down the trail and then up a tree as I passed by.	https://www.geocaching.com/geocache/GC13770_the-cave
bunyanpaul	Found it	7/13/2011	# 2431 I was in the area to find "The Dingle" so I decided to grab this one as well. I had to search for a few minutes before I found it. TFTC! bunyanpaul	https://www.geocaching.com/geocache/GC13770_the-cave
Zorkmid	Found it	6/12/2011	Needed a quick find to make it back home on time. The hint really helped. TFTC.	https://www.geocaching.com/geocache/GC13770_the-cave
jatmo	Found it	6/12/2011	Nice hike along the BT. TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
equipe Lacoste	Found it	4/22/2011	I like those hides...frustrating yet rewarding!	https://www.geocaching.com/geocache/GC13770_the-cave
geocite	Found it	4/7/2011	We continued down the trail to grab this one too before heading to the Millcroft Inn for the evening. Sorry Dan, we looked around but couldn't see your lens cap. On the plus side, we did find the cache without too much trouble which is surprising because it usually takes us forever to find rock hides. After signing in, we enjoyed our hike back to the car. It took us just under an hour to find this one and The Dingle. Thanks for the exercise!	https://www.geocaching.com/geocache/GC13770_the-cave
Swifteroo	Found it	3/22/2011	Nice quick find. Seems that this one is not affected by snow anymore (if it was most recently). lost my "Nikon" lens cap somewhere between here and the dingle. if anyone finds it, I'd love to know! :) Thanks for the hide.	https://www.geocaching.com/geocache/GC13770_the-cave
rebel10	Write note	3/20/2011	That was us hiking back from the dingle. We will be back to get this one. Spinner, chewie , rebel10. Nice trail.	https://www.geocaching.com/geocache/GC13770_the-cave
t4e	Found it	3/20/2011	we were convinced that the cache must be frozen in its "cave" so were ready to walk away luckily i decided to check out another spot that looked like it could accommodate a cache and there it was tftc	https://www.geocaching.com/geocache/GC13770_the-cave
dfx	Found it	3/20/2011	Wow, we almost called it quits on that one. Reading through the past logs we figured there's a good chance the cache might still be under snow or even enclosed in ice. Determination paid off though and t4e had the lucky hand. While we were searching, two hikers came down the trail and greeted us with "is there one there too?" Turns out they just came from the dingle cache further down the trail, nice to meet you They didn't want to join is in on the search though, quite understandably really TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
sderraugh	Didn't find it	3/12/2011	Nope, no luck today. As I approached the cache I thought, "Rock pile? What rock pile?" It was completely buried in snow! I searched around a bit, brushing the snow off the one or two rocks that were actually visible but I figured it was futile. I'll have to try it one day after the snow melts.	https://www.geocaching.com/geocache/GC13770_the-cave
greywynd	Found it	2/12/2011	Barely had the shovel out and going when Brook22 said she'd found this one. Good thing too, generally I hate rock caches, even more so when they are buried in the snow! TFTC!! Greywynd	https://www.geocaching.com/geocache/GC13770_the-cave
Brook22	Found it	2/12/2011	Even though the Dingle was our target cache in the area, finding this one was just as satisfying! tftc	https://www.geocaching.com/geocache/GC13770_the-cave
geob.o.b.	Found it	2/12/2011	Found with emzernask, brook22 and greywynd. Carried on walking from the Dingle to see if we would have a little more luck locating the cache. Fortunately with a little help from greywynd's shovel and persistence from all of us, brook22 said the magic words and had the cache in hand! I think we left a great geotrail for the next cachers - if it doesn't snow! SL TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
emzernask	Found it	2/12/2011	barely had a chance to start searching when the call 'found it' came from brook22. fun winter hike with brook22, greywynd and geo.b.o.b. TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
GPS Derek	Didn't find it	2/5/2011	Here with BBoG and Entogeek targeting the Dingle, this being just down the trail (yes there is a trail under that snow). Arrive and see what the hint describes but it does not indicate the 12+ inches of snow on top. Well with too much digging we give up till spring at which point we will likely walk up and go "found it" within seconds!	https://www.geocaching.com/geocache/GC13770_the-cave
entogeek	Didn't find it	2/5/2011	Despite a good effort by GPS Derek, BBoG and the geek, there was just a wee bit too much snow to find the cache. C'est la vie, eh? Wasn't expecting to find it given Mother Nature's snowy embrace so will be back again in the spring for another hike along the trail.	https://www.geocaching.com/geocache/GC13770_the-cave
hikerT	Found it	10/30/2010	After finding Dr. House's 5000th cache at The Dingle, we continued on a short way to this one. I expected a longer search from the look of things when we arrived but I found it in the first place I looked. TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
Dr. House	Found it	10/30/2010	Since this one was so close and hikerT still needed to find it, we made the short trek from The Dingle to get it off the screen. This was actually a quicker find than I figured it would be (which is why I'd bypassed it on my other excursions through the area), with T finding it very shortly after arriving. TFTC.	https://www.geocaching.com/geocache/GC13770_the-cave
chris-mouse	Found it	10/15/2010	Avernar needed to find The Dingle for a challenge cache, so after finding that, we wandered a bit further up the trail to find this cache. Lots of deer around. We saw one cross the trail in front of us on the way in, and could hear them moving in the trees all around us on the way out.	https://www.geocaching.com/geocache/GC13770_the-cave
Avernar	Found it	10/15/2010	19:08 Stopped by with Chris-mouse after finding The Dingle. Much easier to find with no snow around.	https://www.geocaching.com/geocache/GC13770_the-cave
RCA777	Found it	10/13/2010	A very quick find on the gorgeous trail; amazing autumnal scene. Cache in perfect shape. Lovely signature item in there from Hedgehog! Grabbed the TB to move along (once it is dropped!) TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
Hedgehog in the Fog	Found it	10/11/2010	#73 - Great hiding spot! I wish the container was a little bigger, there is plenty of room in the cave: I had a bear TB with me that traveled from England and it would have been a great dry cache for her to spend some time in but she would not fit! Instead, dropped off another TB, Cambridge Blue - a little key chain. Dropped off my handmade coin and a little token, took Fab5 sig item and looked at the logs - no user with similar name visited the cache. I wonder who dropped it off? TFTC!	https://www.geocaching.com/geocache/GC13770_the-cave
Zoeker Bill	Found it	10/2/2010	Found today while hiking this section of the Bruce Trail. Took a bit of searching and finally had to rely on the hint to narrow down the area. Located cache shortly afterwards. TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
zevon65	Found it	9/10/2010	Beautiful spot!	https://www.geocaching.com/geocache/GC13770_the-cave
grumpy869	Found it	5/17/2010	numger 3 today TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
dora's explorers	Found it	4/14/2010	Almost groaned at all the possible hiding places!! Guess I lucked out! tftc.	https://www.geocaching.com/geocache/GC13770_the-cave
ultranorm	Found it	9/22/2009	Easy find now but will get buried in the winter.	https://www.geocaching.com/geocache/GC13770_the-cave
Ballinafad Bounty Hunters	Found it	9/6/2009	Our find # 550...4:00 PM....This took a little searching and since I was approaching the end of the 13 km hike, my patience was a little short. I was about to give up when I spotted it. Cache is in good shape. TFTC....	https://www.geocaching.com/geocache/GC13770_the-cave
steckley	Found it	7/22/2009	TFTC	https://www.geocaching.com/geocache/GC13770_the-cave
Nozzletime	Found it	7/19/2009	Nice quick find, close to the old "Dingle" cache. These hills sure are alot easier now than they were then. Instead of panting and puffing, I can run up them now. Thanks for bringing me back to the area. Nozzletime & Smudge	https://www.geocaching.com/geocache/GC13770_the-cave
Gordonearl	Found it	7/9/2009	Great day for hiking. Cache is secure, dry and in good shape. The thorns are sharp, too.TFTC TNLN SL	https://www.geocaching.com/geocache/GC13770_the-cave
Replicant	Found it	5/3/2009	Beautiful day! Neat hiding spot.	https://www.geocaching.com/geocache/GC13770_the-cave
filk	Found it	5/2/2009	#1394 - Since the spring has sprung, I made sure to poke around with a stick first to make sure there were no "campers" in the cave. Nope, nothing there. Thanks for bringing me to a great location. TNLNSL	https://www.geocaching.com/geocache/GC13770_the-cave
shannishannon	Found it	4/28/2009	Nice area. Cache in good shape. TFTH!	https://www.geocaching.com/geocache/GC13770_the-cave
SuperSpy#1	Found it	4/10/2009	Out Caching with my Dad... aka Hill677	https://www.geocaching.com/geocache/GC13770_the-cave
Hill677	Found it	4/10/2009	Third find of the day for myself and my 6yr old... aka SuperSpy#1 A word of WARNING to other Cacher`s ...the trees behind the cache have THORNS !!! I found out the hard way!!! OUCH!! TFTH CHEERS!!!	https://www.geocaching.com/geocache/GC13770_the-cave
Weyvalley	Write note	3/21/2009	Despite there being a lot of snow and ice still on the ground, we were able to find the cache after a good search . The bad news was that it was frozen solidly in place . It was quite frustrating to see the cache and not be able to get it . We will try again nearer the summer.	https://www.geocaching.com/geocache/GC13770_the-cave
dkcm2k	Didn't find it	11/29/2008	Wow, this is crazy hard when the rock pile has a foot of snow on it, I hand shoveled a lot of snow off but to no avail... I'm gonna wait until the spring for this one!	https://www.geocaching.com/geocache/GC13770_the-cave
The Donkey Squad	Found it	10/5/2008	Are we sure this is a cave?	https://www.geocaching.com/geocache/GC13770_the-cave
70KMHK9	Found it	10/5/2008	This was an easier find that the previous one, nice spot, cache in good condition.	https://www.geocaching.com/geocache/GC13770_the-cave
