county.y,WNS_MAP_YR,n.touching,n.inf,n.sus,n.abs,prop
Alexander-Illinois,2007-08,1,0,0,1,0
Alexander-Illinois,2008-09,1,0,0,1,0
Alexander-Illinois,2009-10,1,0,0,1,0
Alexander-Illinois,2010-11,1,0,0,1,0
Alexander-Illinois,2011-12,1,0,0,1,0
Alexander-Illinois,2012-13,1,0,0,1,0
Alexander-Illinois,2013-14,1,0,0,1,0
Alexander-Illinois,2014-15,1,1,0,0,0.00182481751824818
Alexander-Illinois,2015-16,1,0,0,1,0
Alexander-Illinois,2016-17,1,0,0,1,0
Alexander-Illinois,2017-18,1,0,0,1,0
Alexander-Illinois,2018-19,1,0,0,1,0
Alger-Michigan,2006-07,2,0,0,2,0
Alger-Michigan,2007-08,2,0,0,2,0
Alger-Michigan,2008-09,2,0,0,2,0
Alger-Michigan,2009-10,2,0,0,2,0
Alger-Michigan,2010-11,2,0,0,2,0
Alger-Michigan,2011-12,2,0,0,2,0
Alger-Michigan,2012-13,2,0,0,2,0
Alger-Michigan,2013-14,2,0,0,2,0
Alger-Michigan,2014-15,2,2,0,0,0.00364963503649635
Alger-Michigan,2015-16,2,0,0,2,0
Alger-Michigan,2016-17,2,0,0,2,0
Alger-Michigan,2017-18,2,0,0,2,0
Alger-Michigan,2018-19,2,0,0,2,0
Algoma Dist. (Part 1 Of)-Ontario,2006-07,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2007-08,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2008-09,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2009-10,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2010-11,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2011-12,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2012-13,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2013-14,1,1,0,0,0.00182481751824818
Algoma Dist. (Part 1 Of)-Ontario,2014-15,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2015-16,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2016-17,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2017-18,1,0,0,1,0
Algoma Dist. (Part 1 Of)-Ontario,2018-19,1,0,0,1,0
Algoma Dist. (Part 2 Of)-Ontario,2006-07,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2007-08,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2008-09,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2009-10,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2010-11,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2011-12,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2012-13,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2013-14,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2014-15,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2015-16,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2016-17,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2017-18,0,0,0,0,0
Algoma Dist. (Part 2 Of)-Ontario,2018-19,0,0,0,0,0
Algoma Dist. (Part 3 Of)-Ontario,2006-07,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2007-08,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2008-09,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2009-10,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2010-11,1,1,0,0,0.00182481751824818
Algoma Dist. (Part 3 Of)-Ontario,2011-12,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2012-13,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2013-14,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2014-15,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2015-16,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2016-17,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2017-18,1,0,0,1,0
Algoma Dist. (Part 3 Of)-Ontario,2018-19,1,0,0,1,0
Algoma District (Part 4 of)-Ontario,2006-07,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2007-08,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2008-09,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2009-10,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2010-11,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2011-12,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2012-13,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2013-14,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2014-15,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2015-16,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2016-17,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2017-18,0,0,0,0,0
Algoma District (Part 4 of)-Ontario,2018-19,0,0,0,0,0
Allegany-Maryland,2006-07,6,0,0,6,0
Allegany-Maryland,2007-08,6,0,0,6,0
Allegany-Maryland,2008-09,6,0,0,6,0
Allegany-Maryland,2009-10,6,0,0,6,0
Allegany-Maryland,2010-11,6,4,0,2,0.0072992700729927
Allegany-Maryland,2011-12,7,1,2,4,0.00182481751824818
Allegany-Maryland,2012-13,6,0,0,6,0
Allegany-Maryland,2013-14,6,0,0,6,0
Allegany-Maryland,2014-15,6,0,0,6,0
Allegany-Maryland,2015-16,6,0,0,6,0
Allegany-Maryland,2016-17,6,0,0,6,0
Allegany-Maryland,2017-18,6,0,0,6,0
Allegany-Maryland,2018-19,6,0,0,6,0
Alleghany-Virginia,2006-07,5,0,0,5,0
Alleghany-Virginia,2007-08,5,0,0,5,0
Alleghany-Virginia,2008-09,5,1,0,4,0.00182481751824818
Alleghany-Virginia,2009-10,5,3,0,2,0.00547445255474453
Alleghany-Virginia,2010-11,6,0,2,4,0
Alleghany-Virginia,2011-12,5,0,0,5,0
Alleghany-Virginia,2012-13,5,0,0,5,0
Alleghany-Virginia,2013-14,5,0,0,5,0
Alleghany-Virginia,2014-15,5,0,0,5,0
Alleghany-Virginia,2015-16,5,0,0,5,0
Alleghany-Virginia,2016-17,5,0,0,5,0
Alleghany-Virginia,2017-18,5,0,0,5,0
Alleghany-Virginia,2018-19,5,0,0,5,0
Alpena-Michigan,2006-07,0,0,0,0,0
Alpena-Michigan,2007-08,0,0,0,0,0
Alpena-Michigan,2008-09,0,0,0,0,0
Alpena-Michigan,2009-10,0,0,0,0,0
Alpena-Michigan,2010-11,0,0,0,0,0
Alpena-Michigan,2011-12,0,0,0,0,0
Alpena-Michigan,2012-13,0,0,0,0,0
Alpena-Michigan,2013-14,0,0,0,0,0
Alpena-Michigan,2014-15,0,0,0,0,0
Alpena-Michigan,2015-16,0,0,0,0,0
Alpena-Michigan,2016-17,0,0,0,0,0
Alpena-Michigan,2017-18,0,0,0,0,0
Alpena-Michigan,2018-19,0,0,0,0,0
Anderson-Tennessee,2006-07,3,0,0,3,0
Anderson-Tennessee,2007-08,3,0,0,3,0
Anderson-Tennessee,2008-09,3,0,0,3,0
Anderson-Tennessee,2009-10,3,0,0,3,0
Anderson-Tennessee,2010-11,3,0,0,3,0
Anderson-Tennessee,2011-12,3,0,0,3,0
Anderson-Tennessee,2012-13,3,2,0,1,0.00364963503649635
Anderson-Tennessee,2013-14,3,1,0,2,0.00182481751824818
Anderson-Tennessee,2014-15,3,0,0,3,0
Anderson-Tennessee,2015-16,3,0,0,3,0
Anderson-Tennessee,2016-17,3,0,0,3,0
Anderson-Tennessee,2017-18,3,0,0,3,0
Anderson-Tennessee,2018-19,3,0,0,3,0
Annapolis-Nova Scotia,2006-07,1,0,0,1,0
Annapolis-Nova Scotia,2007-08,1,0,0,1,0
Annapolis-Nova Scotia,2008-09,1,0,0,1,0
Annapolis-Nova Scotia,2009-10,1,0,0,1,0
Annapolis-Nova Scotia,2010-11,1,1,0,0,0.00182481751824818
Annapolis-Nova Scotia,2011-12,1,0,0,1,0
Annapolis-Nova Scotia,2012-13,1,0,0,1,0
Annapolis-Nova Scotia,2013-14,1,0,0,1,0
Annapolis-Nova Scotia,2014-15,1,0,0,1,0
Annapolis-Nova Scotia,2015-16,1,0,0,1,0
Annapolis-Nova Scotia,2016-17,1,0,0,1,0
Annapolis-Nova Scotia,2017-18,1,0,0,1,0
Annapolis-Nova Scotia,2018-19,1,0,0,1,0
Antigonish-Nova Scotia,2006-07,0,0,0,0,0
Antigonish-Nova Scotia,2007-08,0,0,0,0,0
Antigonish-Nova Scotia,2008-09,0,0,0,0,0
Antigonish-Nova Scotia,2009-10,0,0,0,0,0
Antigonish-Nova Scotia,2010-11,0,0,0,0,0
Antigonish-Nova Scotia,2011-12,0,0,0,0,0
Antigonish-Nova Scotia,2012-13,0,0,0,0,0
Antigonish-Nova Scotia,2013-14,0,0,0,0,0
Antigonish-Nova Scotia,2014-15,0,0,0,0,0
Antigonish-Nova Scotia,2015-16,0,0,0,0,0
Antigonish-Nova Scotia,2016-17,0,0,0,0,0
Antigonish-Nova Scotia,2017-18,0,0,0,0,0
Antigonish-Nova Scotia,2018-19,0,0,0,0,0
Antoine-Labelle-Québec,2006-07,1,0,0,1,0
Antoine-Labelle-Québec,2007-08,1,0,0,1,0
Antoine-Labelle-Québec,2008-09,1,0,0,1,0
Antoine-Labelle-Québec,2009-10,1,0,0,1,0
Antoine-Labelle-Québec,2010-11,1,1,0,0,0.00182481751824818
Antoine-Labelle-Québec,2011-12,1,0,0,1,0
Antoine-Labelle-Québec,2012-13,1,0,0,1,0
Antoine-Labelle-Québec,2013-14,1,0,0,1,0
Antoine-Labelle-Québec,2014-15,1,0,0,1,0
Antoine-Labelle-Québec,2015-16,1,0,0,1,0
Antoine-Labelle-Québec,2016-17,1,0,0,1,0
Antoine-Labelle-Québec,2017-18,1,0,0,1,0
Antoine-Labelle-Québec,2018-19,1,0,0,1,0
Armstrong-Pennsylvania,2006-07,4,0,0,4,0
Armstrong-Pennsylvania,2007-08,4,0,0,4,0
Armstrong-Pennsylvania,2008-09,4,0,0,4,0
Armstrong-Pennsylvania,2009-10,4,0,0,4,0
Armstrong-Pennsylvania,2010-11,4,1,0,3,0.00182481751824818
Armstrong-Pennsylvania,2011-12,4,3,0,1,0.00547445255474453
Armstrong-Pennsylvania,2012-13,4,0,0,4,0
Armstrong-Pennsylvania,2013-14,4,0,0,4,0
Armstrong-Pennsylvania,2014-15,4,0,0,4,0
Armstrong-Pennsylvania,2015-16,4,0,0,4,0
Armstrong-Pennsylvania,2016-17,4,0,0,4,0
Armstrong-Pennsylvania,2017-18,4,0,0,4,0
Armstrong-Pennsylvania,2018-19,4,0,0,4,0
Ashland-Ohio,2006-07,2,0,0,2,0
Ashland-Ohio,2007-08,2,0,0,2,0
Ashland-Ohio,2008-09,2,0,0,2,0
Ashland-Ohio,2009-10,2,0,0,2,0
Ashland-Ohio,2010-11,2,0,0,2,0
Ashland-Ohio,2011-12,2,0,0,2,0
Ashland-Ohio,2012-13,2,2,0,0,0.00364963503649635
Ashland-Ohio,2013-14,2,0,0,2,0
Ashland-Ohio,2014-15,2,0,0,2,0
Ashland-Ohio,2015-16,2,0,0,2,0
Ashland-Ohio,2016-17,2,0,0,2,0
Ashland-Ohio,2017-18,2,0,0,2,0
Ashland-Ohio,2018-19,2,0,0,2,0
Athens-Ohio,2006-07,1,0,0,1,0
Athens-Ohio,2007-08,1,0,0,1,0
Athens-Ohio,2008-09,1,0,0,1,0
Athens-Ohio,2009-10,1,0,0,1,0
Athens-Ohio,2010-11,1,0,0,1,0
Athens-Ohio,2011-12,1,0,0,1,0
Athens-Ohio,2012-13,1,0,0,1,0
Athens-Ohio,2013-14,1,1,0,0,0.00182481751824818
Athens-Ohio,2014-15,1,0,0,1,0
Athens-Ohio,2015-16,1,0,0,1,0
Athens-Ohio,2016-17,1,0,0,1,0
Athens-Ohio,2017-18,1,0,0,1,0
Athens-Ohio,2018-19,1,0,0,1,0
Augusta-Virginia,2006-07,4,0,0,4,0
Augusta-Virginia,2007-08,4,0,0,4,0
Augusta-Virginia,2008-09,4,3,0,1,0.00547445255474453
Augusta-Virginia,2009-10,4,1,0,3,0.00182481751824818
Augusta-Virginia,2010-11,4,0,0,4,0
Augusta-Virginia,2011-12,4,0,0,4,0
Augusta-Virginia,2012-13,4,0,0,4,0
Augusta-Virginia,2013-14,4,0,0,4,0
Augusta-Virginia,2014-15,4,0,0,4,0
Augusta-Virginia,2015-16,4,0,0,4,0
Augusta-Virginia,2016-17,4,0,0,4,0
Augusta-Virginia,2017-18,4,0,0,4,0
Augusta-Virginia,2018-19,4,0,0,4,0
Avery-North Carolina,2006-07,2,0,0,2,0
Avery-North Carolina,2007-08,2,0,0,2,0
Avery-North Carolina,2008-09,2,0,0,2,0
Avery-North Carolina,2009-10,2,1,0,1,0.00182481751824818
Avery-North Carolina,2010-11,2,1,0,1,0.00182481751824818
Avery-North Carolina,2011-12,2,0,0,2,0
Avery-North Carolina,2012-13,2,0,0,2,0
Avery-North Carolina,2013-14,2,0,0,2,0
Avery-North Carolina,2014-15,2,0,0,2,0
Avery-North Carolina,2015-16,2,0,0,2,0
Avery-North Carolina,2016-17,2,0,0,2,0
Avery-North Carolina,2017-18,2,0,0,2,0
Avery-North Carolina,2018-19,2,0,0,2,0
Bandera-Texas,2006-07,3,0,0,3,0
Bandera-Texas,2007-08,3,0,0,3,0
Bandera-Texas,2008-09,3,0,0,3,0
Bandera-Texas,2009-10,3,0,0,3,0
Bandera-Texas,2010-11,3,0,0,3,0
Bandera-Texas,2011-12,3,0,0,3,0
Bandera-Texas,2012-13,3,0,0,3,0
Bandera-Texas,2013-14,3,0,0,3,0
Bandera-Texas,2014-15,3,0,0,3,0
Bandera-Texas,2015-16,3,0,0,3,0
Bandera-Texas,2016-17,3,0,0,3,0
Bandera-Texas,2017-18,4,0,2,2,0
Bandera-Texas,2018-19,5,0,4,1,0
Baraga-Michigan,2006-07,2,0,0,2,0
Baraga-Michigan,2007-08,2,0,0,2,0
Baraga-Michigan,2008-09,2,0,0,2,0
Baraga-Michigan,2009-10,2,0,0,2,0
Baraga-Michigan,2010-11,2,0,0,2,0
Baraga-Michigan,2011-12,2,0,0,2,0
Baraga-Michigan,2012-13,2,0,0,2,0
Baraga-Michigan,2013-14,2,0,0,2,0
Baraga-Michigan,2014-15,2,2,0,0,0.00364963503649635
Baraga-Michigan,2015-16,2,0,0,2,0
Baraga-Michigan,2016-17,2,0,0,2,0
Baraga-Michigan,2017-18,2,0,0,2,0
Baraga-Michigan,2018-19,2,0,0,2,0
Barber-Kansas,2006-07,4,0,0,4,0
Barber-Kansas,2007-08,4,0,0,4,0
Barber-Kansas,2008-09,4,0,0,4,0
Barber-Kansas,2009-10,4,0,0,4,0
Barber-Kansas,2010-11,4,0,0,4,0
Barber-Kansas,2011-12,4,0,0,4,0
Barber-Kansas,2012-13,4,0,0,4,0
Barber-Kansas,2013-14,4,0,0,4,0
Barber-Kansas,2014-15,4,0,0,4,0
Barber-Kansas,2015-16,4,0,0,4,0
Barber-Kansas,2016-17,4,0,0,4,0
Barber-Kansas,2017-18,4,3,0,1,0.00547445255474453
Barber-Kansas,2018-19,5,0,2,3,0
Barnstable-Massachusetts,2006-07,0,0,0,0,0
Barnstable-Massachusetts,2007-08,0,0,0,0,0
Barnstable-Massachusetts,2008-09,0,0,0,0,0
Barnstable-Massachusetts,2009-10,0,0,0,0,0
Barnstable-Massachusetts,2010-11,0,0,0,0,0
Barnstable-Massachusetts,2011-12,0,0,0,0,0
Barnstable-Massachusetts,2012-13,0,0,0,0,0
Barnstable-Massachusetts,2013-14,0,0,0,0,0
Barnstable-Massachusetts,2014-15,0,0,0,0,0
Barnstable-Massachusetts,2015-16,0,0,0,0,0
Barnstable-Massachusetts,2016-17,0,0,0,0,0
Barnstable-Massachusetts,2017-18,0,0,0,0,0
Barnstable-Massachusetts,2018-19,0,0,0,0,0
Barren-Kentucky,2006-07,3,0,0,3,0
Barren-Kentucky,2007-08,3,0,0,3,0
Barren-Kentucky,2008-09,3,0,0,3,0
Barren-Kentucky,2009-10,3,0,0,3,0
Barren-Kentucky,2010-11,3,0,0,3,0
Barren-Kentucky,2011-12,3,0,0,3,0
Barren-Kentucky,2012-13,3,3,0,0,0.00547445255474453
Barren-Kentucky,2013-14,3,0,0,3,0
Barren-Kentucky,2014-15,3,0,0,3,0
Barren-Kentucky,2015-16,3,0,0,3,0
Barren-Kentucky,2016-17,3,0,0,3,0
Barren-Kentucky,2017-18,3,0,0,3,0
Barren-Kentucky,2018-19,3,0,0,3,0
Barry-Missouri,2006-07,4,0,0,4,0
Barry-Missouri,2007-08,4,0,0,4,0
Barry-Missouri,2008-09,4,0,0,4,0
Barry-Missouri,2009-10,4,0,0,4,0
Barry-Missouri,2010-11,4,0,0,4,0
Barry-Missouri,2011-12,4,0,0,4,0
Barry-Missouri,2012-13,4,0,0,4,0
Barry-Missouri,2013-14,4,0,0,4,0
Barry-Missouri,2014-15,5,0,2,3,0
Barry-Missouri,2015-16,5,1,2,2,0.00182481751824818
Barry-Missouri,2016-17,4,0,0,4,0
Barry-Missouri,2017-18,5,0,2,3,0
Barry-Missouri,2018-19,4,0,0,4,0
Bartow-Georgia,2006-07,4,0,0,4,0
Bartow-Georgia,2007-08,4,0,0,4,0
Bartow-Georgia,2008-09,4,0,0,4,0
Bartow-Georgia,2009-10,4,0,0,4,0
Bartow-Georgia,2010-11,4,0,0,4,0
Bartow-Georgia,2011-12,4,0,0,4,0
Bartow-Georgia,2012-13,4,0,0,4,0
Bartow-Georgia,2013-14,6,1,4,1,0.00182481751824818
Bartow-Georgia,2014-15,5,0,2,3,0
Bartow-Georgia,2015-16,4,0,0,4,0
Bartow-Georgia,2016-17,4,0,0,4,0
Bartow-Georgia,2017-18,4,0,0,4,0
Bartow-Georgia,2018-19,4,0,0,4,0
Bath-Virginia,2006-07,5,0,0,5,0
Bath-Virginia,2007-08,5,0,0,5,0
Bath-Virginia,2008-09,5,0,0,5,0
Bath-Virginia,2009-10,5,3,0,2,0.00547445255474453
Bath-Virginia,2010-11,7,0,4,3,0
Bath-Virginia,2011-12,5,0,0,5,0
Bath-Virginia,2012-13,5,0,0,5,0
Bath-Virginia,2013-14,5,0,0,5,0
Bath-Virginia,2014-15,5,0,0,5,0
Bath-Virginia,2015-16,5,0,0,5,0
Bath-Virginia,2016-17,5,0,0,5,0
Bath-Virginia,2017-18,5,0,0,5,0
Bath-Virginia,2018-19,5,0,0,5,0
Baxter-Arkansas,2006-07,5,0,0,5,0
Baxter-Arkansas,2007-08,5,0,0,5,0
Baxter-Arkansas,2008-09,5,0,0,5,0
Baxter-Arkansas,2009-10,5,0,0,5,0
Baxter-Arkansas,2010-11,5,0,0,5,0
Baxter-Arkansas,2011-12,5,0,0,5,0
Baxter-Arkansas,2012-13,5,0,0,5,0
Baxter-Arkansas,2013-14,5,2,0,3,0.00364963503649635
Baxter-Arkansas,2014-15,6,1,2,3,0.00182481751824818
Baxter-Arkansas,2015-16,5,1,0,4,0.00182481751824818
Baxter-Arkansas,2016-17,5,0,0,5,0
Baxter-Arkansas,2017-18,5,0,0,5,0
Baxter-Arkansas,2018-19,5,0,0,5,0
Beaver-Pennsylvania,2006-07,2,0,0,2,0
Beaver-Pennsylvania,2007-08,2,0,0,2,0
Beaver-Pennsylvania,2008-09,2,0,0,2,0
Beaver-Pennsylvania,2009-10,2,1,0,1,0.00182481751824818
Beaver-Pennsylvania,2010-11,2,0,0,2,0
Beaver-Pennsylvania,2011-12,2,1,0,1,0.00182481751824818
Beaver-Pennsylvania,2012-13,2,0,0,2,0
Beaver-Pennsylvania,2013-14,2,0,0,2,0
Beaver-Pennsylvania,2014-15,2,0,0,2,0
Beaver-Pennsylvania,2015-16,2,0,0,2,0
Beaver-Pennsylvania,2016-17,2,0,0,2,0
Beaver-Pennsylvania,2017-18,2,0,0,2,0
Beaver-Pennsylvania,2018-19,2,0,0,2,0
Becker-Minnesota,2006-07,0,0,0,0,0
Becker-Minnesota,2007-08,0,0,0,0,0
Becker-Minnesota,2008-09,0,0,0,0,0
Becker-Minnesota,2009-10,0,0,0,0,0
Becker-Minnesota,2010-11,0,0,0,0,0
Becker-Minnesota,2011-12,0,0,0,0,0
Becker-Minnesota,2012-13,0,0,0,0,0
Becker-Minnesota,2013-14,0,0,0,0,0
Becker-Minnesota,2014-15,0,0,0,0,0
Becker-Minnesota,2015-16,0,0,0,0,0
Becker-Minnesota,2016-17,0,0,0,0,0
Becker-Minnesota,2017-18,0,0,0,0,0
Becker-Minnesota,2018-19,0,0,0,0,0
Bedford-Pennsylvania,2006-07,6,0,0,6,0
Bedford-Pennsylvania,2007-08,6,0,0,6,0
Bedford-Pennsylvania,2008-09,6,0,0,6,0
Bedford-Pennsylvania,2009-10,6,3,0,3,0.00547445255474453
Bedford-Pennsylvania,2010-11,6,2,0,4,0.00364963503649635
Bedford-Pennsylvania,2011-12,6,1,0,5,0.00182481751824818
Bedford-Pennsylvania,2012-13,6,0,0,6,0
Bedford-Pennsylvania,2013-14,6,0,0,6,0
Bedford-Pennsylvania,2014-15,6,0,0,6,0
Bedford-Pennsylvania,2015-16,6,0,0,6,0
Bedford-Pennsylvania,2016-17,6,0,0,6,0
Bedford-Pennsylvania,2017-18,6,0,0,6,0
Bedford-Pennsylvania,2018-19,6,0,0,6,0
Bedford-Tennessee,2006-07,2,0,0,2,0
Bedford-Tennessee,2007-08,2,0,0,2,0
Bedford-Tennessee,2008-09,2,0,0,2,0
Bedford-Tennessee,2009-10,2,0,0,2,0
Bedford-Tennessee,2010-11,2,0,0,2,0
Bedford-Tennessee,2011-12,2,0,0,2,0
Bedford-Tennessee,2012-13,2,0,0,2,0
Bedford-Tennessee,2013-14,2,0,0,2,0
Bedford-Tennessee,2014-15,2,2,0,0,0.00364963503649635
Bedford-Tennessee,2015-16,2,0,0,2,0
Bedford-Tennessee,2016-17,2,0,0,2,0
Bedford-Tennessee,2017-18,2,0,0,2,0
Bedford-Tennessee,2018-19,2,0,0,2,0
Bell-Kentucky,2006-07,3,0,0,3,0
Bell-Kentucky,2007-08,3,0,0,3,0
Bell-Kentucky,2008-09,3,0,0,3,0
Bell-Kentucky,2009-10,3,0,0,3,0
Bell-Kentucky,2010-11,3,0,0,3,0
Bell-Kentucky,2011-12,3,0,0,3,0
Bell-Kentucky,2012-13,3,3,0,0,0.00547445255474453
Bell-Kentucky,2013-14,3,0,0,3,0
Bell-Kentucky,2014-15,3,0,0,3,0
Bell-Kentucky,2015-16,3,0,0,3,0
Bell-Kentucky,2016-17,3,0,0,3,0
Bell-Kentucky,2017-18,3,0,0,3,0
Bell-Kentucky,2018-19,3,0,0,3,0
Bennington-Vermont,2006-07,6,0,0,6,0
Bennington-Vermont,2007-08,6,3,0,3,0.00547445255474453
Bennington-Vermont,2008-09,6,3,0,3,0.00547445255474453
Bennington-Vermont,2009-10,6,0,0,6,0
Bennington-Vermont,2010-11,6,0,0,6,0
Bennington-Vermont,2011-12,6,0,0,6,0
Bennington-Vermont,2012-13,6,0,0,6,0
Bennington-Vermont,2013-14,6,0,0,6,0
Bennington-Vermont,2014-15,6,0,0,6,0
Bennington-Vermont,2015-16,6,0,0,6,0
Bennington-Vermont,2016-17,6,0,0,6,0
Bennington-Vermont,2017-18,6,0,0,6,0
Bennington-Vermont,2018-19,6,0,0,6,0
Benton-Arkansas,2006-07,6,0,0,6,0
Benton-Arkansas,2007-08,6,0,0,6,0
Benton-Arkansas,2008-09,6,0,0,6,0
Benton-Arkansas,2009-10,6,0,0,6,0
Benton-Arkansas,2010-11,6,0,0,6,0
Benton-Arkansas,2011-12,6,0,0,6,0
Benton-Arkansas,2012-13,6,0,0,6,0
Benton-Arkansas,2013-14,6,0,0,6,0
Benton-Arkansas,2014-15,7,0,2,5,0
Benton-Arkansas,2015-16,8,1,4,3,0.00182481751824818
Benton-Arkansas,2016-17,6,1,0,5,0.00182481751824818
Benton-Arkansas,2017-18,6,1,0,5,0.00182481751824818
Benton-Arkansas,2018-19,6,0,0,6,0
Berkshire-Massachusetts,2006-07,5,0,0,5,0
Berkshire-Massachusetts,2007-08,5,5,0,0,0.00912408759124088
Berkshire-Massachusetts,2008-09,5,0,0,5,0
Berkshire-Massachusetts,2009-10,5,0,0,5,0
Berkshire-Massachusetts,2010-11,5,0,0,5,0
Berkshire-Massachusetts,2011-12,5,0,0,5,0
Berkshire-Massachusetts,2012-13,5,0,0,5,0
Berkshire-Massachusetts,2013-14,5,0,0,5,0
Berkshire-Massachusetts,2014-15,5,0,0,5,0
Berkshire-Massachusetts,2015-16,5,0,0,5,0
Berkshire-Massachusetts,2016-17,5,0,0,5,0
Berkshire-Massachusetts,2017-18,5,0,0,5,0
