GC,title,nospace,url,lat,lon,country,province/state,county,numfinds,numpages
GCK7E1,Down The Country,down-the-country,https://www.geocaching.com/geocache/GCK7E1_down-the-country,N 46° 25.025,W 060° 28.305,Canada,Nova Scotia,Victoria (Nova Scotia),69,5
GCK8XM,Kingston Family Trail,kingston-family-trail,https://www.geocaching.com/geocache/GCK8XM_kingston-family-trail,N 44° 58.809,W 064° 56.772,Canada,Nova Scotia,Kings (Nova Scotia),101,7
GCKCPV,Go Jump in the Lake,go-jump-in-the-lake,https://www.geocaching.com/geocache/GCKCPV_go-jump-in-the-lake,N 46° 15.130,W 060° 25.899,Canada,Nova Scotia,Victoria (Nova Scotia),112,8
GCKF00,Aylesford and District Micro,aylesford-and-district-micro,https://www.geocaching.com/geocache/GCKF00_aylesford-and-district-micro,N 45° 01.881,W 064° 50.403,Canada,Nova Scotia,Kings (Nova Scotia),36,3
GCKKBH,AAAAH RUN... BEAR!!!,aaaah-run-bear,https://www.geocaching.com/geocache/GCKKBH_aaaah-run-bear,N 46° 20.620,W 060° 31.579,Canada,Nova Scotia,Victoria (Nova Scotia),60,4
GCKKBN,DON'T STEP ON THE MOOSE POOP!!,dont-step-on-the-moose-poop,https://www.geocaching.com/geocache/GCKKBN_dont-step-on-the-moose-poop,N 46° 22.460,W 060° 32.396,Canada,Nova Scotia,Victoria (Nova Scotia),60,4
GCKMMN,The Notch,the-notch,https://www.geocaching.com/geocache/GCKMMN_the-notch,N 44° 57.090,W 064° 53.607,Canada,Nova Scotia,Kings (Nova Scotia),167,12
GCKN4D,Fales River,fales-river,https://www.geocaching.com/geocache/GCKN4D_fales-river,N 44° 57.735,W 064° 55.388,Canada,Nova Scotia,Kings (Nova Scotia),59,4
GCKPQX,I THINK I SAW A LIGHTHOUSE.......OR 3!!,i-think-i-saw-a-lighthouseor-3,https://www.geocaching.com/geocache/GCKPQX_i-think-i-saw-a-lighthouseor-3,N 46° 17.598,W 060° 25.048,Canada,Nova Scotia,Victoria (Nova Scotia),62,5
GCKWFK,Where the Sand Dollars Play,where-the-sand-dollars-play,https://www.geocaching.com/geocache/GCKWFK_where-the-sand-dollars-play,N 43° 54.573,W 064° 49.277,Canada,Nova Scotia,Queens (Nova Scotia),131,9
GCKWMG,The Matrix,the-matrix,https://www.geocaching.com/geocache/GCKWMG_the-matrix,N 45° 00.440,W 064° 54.489,Canada,Nova Scotia,Kings (Nova Scotia),82,6
GCM0K8,Ten Mile Magic,ten-mile-magic,https://www.geocaching.com/geocache/GCM0K8_ten-mile-magic,N 44° 11.274,W 064° 50.013,Canada,Nova Scotia,Queens (Nova Scotia),129,9
GCM1MK,A nice beach on the Minas Basin???,a-nice-beach-on-the-minas-basin,https://www.geocaching.com/geocache/GCM1MK_a-nice-beach-on-the-minas-basin,N 45° 09.602,W 064° 21.558,Canada,Nova Scotia,Kings (Nova Scotia),30,2
GCM1VE,DAKOTA'S DEVIL CACHE(SILIVER#2),dakotas-devil-cache-siliver2,https://www.geocaching.com/geocache/GCM1VE_dakotas-devil-cache-siliver2,N 45° 03.575,W 064° 28.792,Canada,Nova Scotia,Kings (Nova Scotia),72,5
GCM450,Hey...Is That a Bridge Down There?,heyis-that-a-bridge-down-there,https://www.geocaching.com/geocache/GCM450_heyis-that-a-bridge-down-there,N 46° 14.778,W 060° 30.251,Canada,Nova Scotia,Victoria (Nova Scotia),501,34
GCM48V,Relax & Enjoy,relax-enjoy,https://www.geocaching.com/geocache/GCM48V_relax-enjoy,N 43° 57.383,W 064° 44.158,Canada,Nova Scotia,Queens (Nova Scotia),115,8
GCM86K,Crystal Clear,crystal-clear,https://www.geocaching.com/geocache/GCM86K_crystal-clear,N 44° 56.510,W 064° 52.723,Canada,Nova Scotia,Kings (Nova Scotia),68,5
GCMB75,DAZED & CONFUSED(SILIVER SERIES #5),dazed-confused-siliver-series-5,https://www.geocaching.com/geocache/GCMB75_dazed-confused-siliver-series-5,N 45° 04.320,W 064° 30.819,Canada,Nova Scotia,Kings (Nova Scotia),163,11
GCMFJQ,CAMO CACHE(Skunk Series # 4),camo-cache-skunk-series-4,https://www.geocaching.com/geocache/GCMFJQ_camo-cache-skunk-series-4,N 45° 06.233,W 064° 16.254,Canada,Nova Scotia,Kings (Nova Scotia),35,3
GCMH2R,Dune Walking,dune-walking,https://www.geocaching.com/geocache/GCMH2R_dune-walking,N 43° 54.402,W 064° 48.760,Canada,Nova Scotia,Queens (Nova Scotia),52,4
GCMJDN,Hunters Paradise,hunters-paradise,https://www.geocaching.com/geocache/GCMJDN_hunters-paradise,N 45° 11.052,W 064° 38.074,Canada,Nova Scotia,Kings (Nova Scotia),140,10
GCMMKF,KOA All the Way,koa-all-the-way,https://www.geocaching.com/geocache/GCMMKF_koa-all-the-way,N 46° 13.772,W 060° 30.443,Canada,Nova Scotia,Victoria (Nova Scotia),141,10
GCMMKJ,Toy Soldiers,toy-soldiers,https://www.geocaching.com/geocache/GCMMKJ_toy-soldiers,N 46° 07.140,W 060° 47.486,Canada,Nova Scotia,Victoria (Nova Scotia),46,4
GCMNTE,Maybe A Long Spell,maybe-a-long-spell,https://www.geocaching.com/geocache/GCMNTE_maybe-a-long-spell,N 45° 10.153,W 064° 21.284,Canada,Nova Scotia,Kings (Nova Scotia),105,7
GCMPRJ,"Houston, we have a problem!!!",houston-we-have-a-problem,https://www.geocaching.com/geocache/GCMPRJ_houston-we-have-a-problem,N 45° 12.972,W 064° 21.848,Canada,Nova Scotia,Kings (Nova Scotia),105,7
GCMQ3F,"Here's the wharf, where's the ferry? (#1 Boul.)",heres-the-wharf-wheres-the-ferry-1-boul,https://www.geocaching.com/geocache/GCMQ3F_heres-the-wharf-wheres-the-ferry-1-boul,N 46° 08.675,W 060° 35.161,Canada,Nova Scotia,Victoria (Nova Scotia),5,1
GCN2TX,Fife's Brook Cache(#5 of Boulardrie Series),fifes-brook-cache-5-of-boulardrie-series,https://www.geocaching.com/geocache/GCN2TX_fifes-brook-cache-5-of-boulardrie-series,N 46° 16.664,W 060° 22.940,Canada,Nova Scotia,Victoria (Nova Scotia),83,6
GCN6NT,Dykes Around Canning,dykes-around-canning,https://www.geocaching.com/geocache/GCN6NT_dykes-around-canning,N 45° 08.498,W 064° 22.786,Canada,Nova Scotia,Kings (Nova Scotia),1,1
GCN73V,Jamesville Perch,jamesville-perch,https://www.geocaching.com/geocache/GCN73V_jamesville-perch,N 45° 56.993,W 060° 52.401,Canada,Nova Scotia,Victoria (Nova Scotia),45,3
GCN7AP,Taken for Granite (but Lichen it),taken-for-granite-but-lichen-it,https://www.geocaching.com/geocache/GCN7AP_taken-for-granite-but-lichen-it,N 43° 52.117,W 064° 57.725,Canada,Nova Scotia,Queens (Nova Scotia),77,6
GCN7TY,Cabot Trail Tour Series ( No.1) St. anns,cabot-trail-tour-series--no1-st-anns,https://www.geocaching.com/geocache/GCN7TY_cabot-trail-tour-series--no1-st-anns,N 46° 14.049,W 060° 36.431,Canada,Nova Scotia,Victoria (Nova Scotia),80,6
GCN88G,Feet Fales Me Not,feet-fales-me-not,https://www.geocaching.com/geocache/GCN88G_feet-fales-me-not,N 44° 57.773,W 064° 55.930,Canada,Nova Scotia,Kings (Nova Scotia),109,8
GCN8NA,Rails to Trails Cache(Duct Tape Series #2),rails-to-trails-cache-duct-tape-series-2,https://www.geocaching.com/geocache/GCN8NA_rails-to-trails-cache-duct-tape-series-2,N 45° 04.450,W 064° 33.356,Canada,Nova Scotia,Kings (Nova Scotia),221,15
GCN8PD,101 Waterfall(Duct Tape Series#3)NSHW101,101-waterfall-duct-tape-series3nshw101,https://www.geocaching.com/geocache/GCN8PD_101-waterfall-duct-tape-series3nshw101,N 45° 02.892,W 064° 30.450,Canada,Nova Scotia,Kings (Nova Scotia),201,14
GCN8PN,Lockheart Ryan Cache(Duct Tape Series#5),lockheart-ryan-cache-duct-tape-series5,https://www.geocaching.com/geocache/GCN8PN_lockheart-ryan-cache-duct-tape-series5,N 45° 04.538,W 064° 26.357,Canada,Nova Scotia,Kings (Nova Scotia),270,18
GCN8PT,Let's Go Tube'n(Duct Tape Series#4),lets-go-tuben-duct-tape-series4,https://www.geocaching.com/geocache/GCN8PT_lets-go-tuben-duct-tape-series4,N 45° 03.667,W 064° 22.776,Canada,Nova Scotia,Kings (Nova Scotia),144,10
GCN8Q4,I'm Famous look at Me(Duct Tape Series#6),im-famous-look-at-me-duct-tape-series6,https://www.geocaching.com/geocache/GCN8Q4_im-famous-look-at-me-duct-tape-series6,N 45° 04.607,W 064° 29.650,Canada,Nova Scotia,Kings (Nova Scotia),253,17
GCN8Z3,Aliant Adventure Series #4,aliant-adventure-series-4,https://www.geocaching.com/geocache/GCN8Z3_aliant-adventure-series-4,N 46° 12.730,W 060° 36.342,Canada,Nova Scotia,Victoria (Nova Scotia),245,17
GCN8Z8,Fishing With the Bum,fishing-with-the-bum,https://www.geocaching.com/geocache/GCN8Z8_fishing-with-the-bum,N 46° 12.657,W 060° 35.544,Canada,Nova Scotia,Victoria (Nova Scotia),66,5
GCN96C,Seals on an Island? (#6 Boul. Series),seals-on-an-island-6-boul-series,https://www.geocaching.com/geocache/GCN96C_seals-on-an-island-6-boul-series,N 46° 13.830,W 060° 29.153,Canada,Nova Scotia,Victoria (Nova Scotia),276,19
GCN9M4,Walls Of Lakeville Past,walls-of-lakeville-past,https://www.geocaching.com/geocache/GCN9M4_walls-of-lakeville-past,N 45° 07.188,W 064° 35.241,Canada,Nova Scotia,Kings (Nova Scotia),16,2
GCNA9M,"Canada ""Eh""!!",canada-eh,https://www.geocaching.com/geocache/GCNA9M_canada-eh,N 45° 10.283,W 064° 44.449,Canada,Nova Scotia,Kings (Nova Scotia),21,2
GCNAHT,Long for the Light,long-for-the-light,https://www.geocaching.com/geocache/GCNAHT_long-for-the-light,N 44° 06.150,W 064° 32.398,Canada,Nova Scotia,Queens (Nova Scotia),89,6
GCNBMX,This Cache is the Pits(Duct Tape#1),this-cache-is-the-pits-duct-tape1,https://www.geocaching.com/geocache/GCNBMX_this-cache-is-the-pits-duct-tape1,N 45° 04.269,W 064° 27.905,Canada,Nova Scotia,Kings (Nova Scotia),262,18
GCNBN1,Book Exchange Cache(Duct Tape#7),book-exchange-cache-duct-tape7,https://www.geocaching.com/geocache/GCNBN1_book-exchange-cache-duct-tape7,N 45° 08.204,W 064° 37.392,Canada,Nova Scotia,Kings (Nova Scotia),56,4
GCNCJ0,Russian Troll,russian-troll,https://www.geocaching.com/geocache/GCNCJ0_russian-troll,N 45° 09.346,W 064° 46.466,Canada,Nova Scotia,Kings (Nova Scotia),131,9
GCNDYM,Napoleon's Flippin' Cache (N.D. Series #1),napoleons-flippin-cache-nd-series-1,https://www.geocaching.com/geocache/GCNDYM_napoleons-flippin-cache-nd-series-1,N 45° 04.386,W 064° 28.857,Canada,Nova Scotia,Kings (Nova Scotia),28,2
GCNEMW,Gaspereau Canal Trail,gaspereau-canal-trail,https://www.geocaching.com/geocache/GCNEMW_gaspereau-canal-trail,N 44° 56.203,W 064° 30.267,Canada,Nova Scotia,Kings (Nova Scotia),29,2
GCNFME,Bigelow's Shipyard,bigelows-shipyard,https://www.geocaching.com/geocache/GCNFME_bigelows-shipyard,N 45° 09.403,W 064° 25.166,Canada,Nova Scotia,Kings (Nova Scotia),283,19
GCNG0E,Farewell To Nova Scotia....,farewell-to-nova-scotia,https://www.geocaching.com/geocache/GCNG0E_farewell-to-nova-scotia,N 45° 51.368,W 064° 15.769,Canada,Nova Scotia,Cumberland,571,39
GCNGZG,Tilbury Canon,tilbury-canon,https://www.geocaching.com/geocache/GCNGZG_tilbury-canon,N 46° 05.959,W 060° 44.949,Canada,Nova Scotia,Victoria (Nova Scotia),11,1
GCNH3P,The Tide is High But I'm Caching On,the-tide-is-high-but-im-caching-on,https://www.geocaching.com/geocache/GCNH3P_the-tide-is-high-but-im-caching-on,N 46° 15.107,W 060° 29.302,Canada,Nova Scotia,Victoria (Nova Scotia),108,8
GCNHCX,Factory? What Factory?,factory-what-factory,https://www.geocaching.com/geocache/GCNHCX_factory-what-factory,N 46° 16.861,W 060° 25.436,Canada,Nova Scotia,Victoria (Nova Scotia),4,1
GCNM6F,Cabot Trail Tour Series (No.2) North River,cabot-trail-tour-series-no2-north-river,https://www.geocaching.com/geocache/GCNM6F_cabot-trail-tour-series-no2-north-river,N 46° 18.462,W 060° 37.165,Canada,Nova Scotia,Victoria (Nova Scotia),230,16
GCNM6M,Cabot Trail Tour series (No.3) Wreck cove,cabot-trail-tour-series-no3-wreck-cove,https://www.geocaching.com/geocache/GCNM6M_cabot-trail-tour-series-no3-wreck-cove,N 46° 31.867,W 060° 25.051,Canada,Nova Scotia,Victoria (Nova Scotia),406,28
GCNM6P,Cabot Trail Tour series (No.4) Ingonish,cabot-trail-tour-series-no4-ingonish,https://www.geocaching.com/geocache/GCNM6P_cabot-trail-tour-series-no4-ingonish,N 46° 37.678,W 060° 25.286,Canada,Nova Scotia,Victoria (Nova Scotia),484,33
GCNM83,Cabot Trail Tour Series (No.7) Middle river,cabot-trail-tour-series-no7-middle-river,https://www.geocaching.com/geocache/GCNM83_cabot-trail-tour-series-no7-middle-river,N 46° 13.546,W 060° 55.651,Canada,Nova Scotia,Victoria (Nova Scotia),93,7
GCNR9T,Flyer Box Micro Series (#1),flyer-box-micro-series-1,https://www.geocaching.com/geocache/GCNR9T_flyer-box-micro-series-1,N 45° 03.120,W 064° 30.466,Canada,Nova Scotia,Kings (Nova Scotia),67,5
GCNR9X,Flyer Box Micro Series (#2),flyer-box-micro-series-2,https://www.geocaching.com/geocache/GCNR9X_flyer-box-micro-series-2,N 45° 08.617,W 064° 29.049,Canada,Nova Scotia,Kings (Nova Scotia),17,2
GCNR9Y,Flyer Box Micro Series (#3),flyer-box-micro-series-3,https://www.geocaching.com/geocache/GCNR9Y_flyer-box-micro-series-3,N 44° 59.450,W 064° 27.046,Canada,Nova Scotia,Kings (Nova Scotia),13,1
GCNRA1,Flyer Box Micro Series (#4),flyer-box-micro-series-4,https://www.geocaching.com/geocache/GCNRA1_flyer-box-micro-series-4,N 45° 04.409,W 064° 24.836,Canada,Nova Scotia,Kings (Nova Scotia),33,3
GCNT1N,"Have you ever been to Lower Washabuck, Martha",have-you-ever-been-to-lower-washabuck-martha,https://www.geocaching.com/geocache/GCNT1N_have-you-ever-been-to-lower-washabuck-martha,N 46° 04.258,W 060° 44.571,Canada,Nova Scotia,Victoria (Nova Scotia),69,5
GCNT22,"How long until the next ferry, Martha?",how-long-until-the-next-ferry-martha,https://www.geocaching.com/geocache/GCNT22_how-long-until-the-next-ferry-martha,N 46° 08.904,W 060° 36.010,Canada,Nova Scotia,Victoria (Nova Scotia),34,3
GCNTE9,Sunrise Valley View,sunrise-valley-view,https://www.geocaching.com/geocache/GCNTE9_sunrise-valley-view,N 46° 52.269,W 060° 32.797,Canada,Nova Scotia,Victoria (Nova Scotia),221,15
GCNTEM,Down By The Asby Riverside,down-by-the-asby-riverside,https://www.geocaching.com/geocache/GCNTEM_down-by-the-asby-riverside,N 46° 49.912,W 060° 36.706,Canada,Nova Scotia,Victoria (Nova Scotia),1,1
GCNTEY,Cabot's Landing Gravesite,cabots-landing-gravesite,https://www.geocaching.com/geocache/GCNTEY_cabots-landing-gravesite,N 46° 56.538,W 060° 27.806,Canada,Nova Scotia,Victoria (Nova Scotia),1,1
GCNYZN,Watch Out(Duct Tape # 12),watch-out-duct-tape-12,https://www.geocaching.com/geocache/GCNYZN_watch-out-duct-tape-12,N 45° 03.712,W 064° 16.088,Canada,Nova Scotia,Kings (Nova Scotia),35,3
GCNZ4G,Man of War ( # 7 Boularderie Series),man-of-war--7-boularderie-series,https://www.geocaching.com/geocache/GCNZ4G_man-of-war--7-boularderie-series,N 46° 10.796,W 060° 33.281,Canada,Nova Scotia,Victoria (Nova Scotia),69,5
GCNZ5X,It's A Shore Thing #1 Neil's Ledges,its-a-shore-thing-1-neils-ledges,https://www.geocaching.com/geocache/GCNZ5X_its-a-shore-thing-1-neils-ledges,N 44° 02.605,W 064° 40.297,Canada,Nova Scotia,Queens (Nova Scotia),72,5
GCNZ6D,It's A Shore Thing #2 Fralic Cove,its-a-shore-thing-2-fralic-cove,https://www.geocaching.com/geocache/GCNZ6D_its-a-shore-thing-2-fralic-cove,N 44° 02.548,W 064° 39.651,Canada,Nova Scotia,Queens (Nova Scotia),100,7
GCNZ6J,It's a Shore Thing #3 Coffin Island Look-off,its-a-shore-thing-3-coffin-island-lookoff,https://www.geocaching.com/geocache/GCNZ6J_its-a-shore-thing-3-coffin-island-lookoff,N 44° 02.650,W 064° 39.174,Canada,Nova Scotia,Queens (Nova Scotia),49,4
GCNZ6Q,It's a Shore Thing #4 Beach Meadows Beach,its-a-shore-thing-4-beach-meadows-beach,https://www.geocaching.com/geocache/GCNZ6Q_its-a-shore-thing-4-beach-meadows-beach,N 44° 03.427,W 064° 38.353,Canada,Nova Scotia,Queens (Nova Scotia),158,11
GCNZY2,Fundy Shore Cache,fundy-shore-cache,https://www.geocaching.com/geocache/GCNZY2_fundy-shore-cache,N 45° 09.162,W 064° 47.952,Canada,Nova Scotia,Kings (Nova Scotia),24,2
GCP0EQ,Shinook & White Juan's Cape Split Adventure (#1),shinook-white-juans-cape-split-adventure-1,https://www.geocaching.com/geocache/GCP0EQ_shinook-white-juans-cape-split-adventure-1,N 45° 19.943,W 064° 29.558,Canada,Nova Scotia,Kings (Nova Scotia),277,19
GCP0F3,Shinook & White Juan's Cape Split Adventure (#2),shinook-white-juans-cape-split-adventure-2,https://www.geocaching.com/geocache/GCP0F3_shinook-white-juans-cape-split-adventure-2,N 45° 19.769,W 064° 28.423,Canada,Nova Scotia,Kings (Nova Scotia),308,21
GCP0FE,Shinook & White Juan's Cape Split Adventure (#3),shinook-white-juans-cape-split-adventure-3,https://www.geocaching.com/geocache/GCP0FE_shinook-white-juans-cape-split-adventure-3,N 45° 18.895,W 064° 25.972,Canada,Nova Scotia,Kings (Nova Scotia),333,23
GCP17B,Deb's Keychain Cache (N.D. Series #2),debs-keychain-cache-nd-series-2,https://www.geocaching.com/geocache/GCP17B_debs-keychain-cache-nd-series-2,N 45° 05.862,W 064° 21.949,Canada,Nova Scotia,Kings (Nova Scotia),149,10
