"","GC","lon","lat","type","Description"
"456","GC1QMQ6",38.45867,-90.29392,"Type.earthcache","while there you are going to perform a field exercise you will need a thermometer that is capable of measuring outdoor air temperatures you will also need a camera these items are required for you to ultimately claim a find so please plan and come prepared warning under no normal circumstances should you attempt to enter the cave it is dangerous inside the cave is protected within cliff cave county park and can only be explored by permit from the st louis county department of parks and recreation how caves are formed caves are formed in many ways by far the most common way is by the dissolution of sedimentary rock by acidic water there are other forces that can create caves following are the descriptions of several solution caves by far the most common caves are solution caves these caves are formed through the interaction of air water soil and rock they usually form in areas where the dominant rock is limestone a type of sedimentary rock many solution caves feature streams and lakes and unusual mineral formations typically a cave like this forms over a period of several million years slump caves slumping in geological terms occurs when large sections of rock or a land mass moves its position away from or toward other sections of rock or land mass usually in the direction of a downslope the speed for this movement is typically very very slow however quick changes can occur especially with the occurrence of earthquake activity or frequent flooding slump caves can be formed when two large sections of rock move together and voids occur between the sections sea caves over time waves crashing against the base of a cliff can form a sea cave a sea cave forms along a vertical zone of weakness in the rock perhaps a crack or an area of softer rock the erosive power of the waves wear away the rock creating an opening that can deepen and expand with an overhang where the cliff rises above the waves sea caves are typically found in sedimentary rock such as sandstone and limestone they are less commonly formed in hard rock such as granite lava caves lava which is molten rock on the surface of the earth can create long intricate cave systems when lava flows it typically flows down a slope in a shape that resembles a long skinny tongue the tongue is a channel of flowing lava with the hotter fasterflowing lava in the center of the channel and the cooling lava closer to the edges of the channel the cooling lava on the edges solidifies forming walls and eventually a crust over the top of the lava flow when the eruption stops the remaining lava flows out of the voids and a tubelike cave remains additional lava flows can occur over the top of the cave burying the cave deeper and deeper bacteriaformed caves there are bacteria that thrive on oil deposits deep within the earth these bacteria which are named extremophiles because they thrive in extreme conditions expel a gas that combines with oxygen to create sulfuric acid this highly corrosive acid eats away at limestone leaving behind gypsum and creating the large voids of caves this bacterial process can feed upon itself with some of the bacteria eating the byproducts and other minerals accelerate the formation of caves manmade the word cave implies a feature created by natural forces therefore there really is no such thing as a manmade cave we have other words to describe the holes that humans have created in the earth humans have dug holes for many reasons including shelter passage mining disposal battle escape etc basic geology of cliff cave cliff cave is a solution cave it is formed from rock from the st louis limestone formation from the mississippian period the limestone rock is 362 to 320 million years old the cave was formed during the ice age and the best theories have the cave formation starting during either the yarmoth interglacial period 300000 to 600000 years ago or the aftonian interglacial period 700000 to 900000 years ago the current mapping of the cave from the missouri geological survey rolla defines the caves length as 4726 feet the cave has four separate entrances and contains many interesting geological formations inside such as a natural bridge falls domes tubes etc however the cave has very few typical ozark cave formations such as flowstone stalactites or stalagmites basic history of cliff cave the cave is believed to have been discovered and used by humans as early as 7850 bc the cave has a lot of native american history so much so that it is sometimes called indian cave the cave has history with the osage illini chickasaw and choctaw the osage and illini saw the cave as sacred likely because in winter months the cave emits a visible mist through its openings a sign to the people of the presence of the spirit being from 1830 to 1880 the cliff cave wine company used the cave to store and age wine the manmade brickwork and masonry that you see there was constructed by the wine company in the 1910s anheuserbusch stored beer in the cave in the 1920s the mob dumped bodies in the cave from the 1700s through just recently the cave has always periodically been the site for recreational activities crime and debauchery in 1993 a number of counselors and children were killed when during an exploration outing they were trapped in the cave by a flash flood in recent history there have been repeated occurrences of people becoming lost inside the cave basic ecology of cliff cave currently the cave stream is almost dead and supports only a few frogs and cave isopods in the past before urban pollution destroyed the fragile habitat of the cave it supported albino crayfish albino salamanders and blind fish the big brown bat and the eastern pipistrelle bat still live in the cave vandalism uncontrolled digging and excavation spray painting and pollution have taken a toll on the natural appearance and habitat of the cave logging requirements according to earthcache rules in order to claim the find you must perform an educational task so i ask that you do the following requirement 1 measure the temperature difference this is a big cave and when you approach the posted coordinates you are going to notice a temperature difference in the air flowing from the cave especially if it is a hot day you are going to feel much cooler air if it is a cold day the air will be warmer andbalmier as you approach when you reach the posted coordinates place your thermometer such that it is in the air flow from the cave away from direct sunlight leave it there for ten minutes and then record the measured temperature now back at the parking lot do the same place the thermometer in the grass next to the parking lot away from direct sunlight and not on the hood of your car and leave it there for ten minutes then record the measured temperature at that location compare the two measurements what is the temperature difference requirement 2 find some answers not far from the cave you will find an interpretive display that describes cave formation and geology the display is located at n38deg 27525 w090deg 17265 from that display find answers to the following questions 1 most cave passages contain a material which consists of deposits that are washed into the cave such as sand gravel or clay what is material known as 2 the study of caves is called speleology according to the display what four fields of science is it based on requirement 3 email send me an email through gccom that provides your temperature readings and answers requirement 4 photo post a photo of yourself with the entrance of the cave in the background post your photo on the cache page with your find logthe photo should clearly show that you were present at the cave i do not care about your gpsr appearing in the photo post your photos with your online log and email me with your answers logs not accompanied by email and photo within a reasonable amount of time will be deleted per earthcache rules have lots of fun"
"463","GC33JR4",47.37243,-88.31528,"Type.earthcache","earth cache the cliff mine historical site the cliff mine was the first copper mine in michigan that paid dividends to its owners this demonstrated that money could be made from the syncline caused by some of the oldest rocks in the world what happened at cliff about a billion or so years ago michigan contained a giant volcanic rift that erupted and produced lava <url> after the eruption erosion took place and the cooled lava basalt was covered with smaller rock pieces as erosion occurred another eruption laid more lava over this followed by another layer of rubble as layers covered layers the rubble was compressed to form conglomorate rock there are over 20 layers in this the largest lava flow in the world eventually the tectonic plates began to grind together the rift wanted to close but the center was heavier than the edges due to the additional layers ultimately the edges of the flow ripped apart and the outer edges then slid under the edges of the bowl this left a steep cliff on the left at isle royale and on the right at the keweenaw peninsula the oldest rock can be found at the base of the cliff at some time in this process the layers in the syncline became suffused with a high temperature high pressure copper solution as with a giant chromatography hplc machine this solution cooled and reduced in pressure and pure copper precipitated out of the solution wherever the solution had penetrated copper remained trapped in cracks in the rock as well as small bubbles in the basalt and spaces in the conglomorate rock cliff as seen from the entrance 47deg221978n 88deg184579w there are wood planks to help you over the streams in 1837 michigan became a state and was awarded the upper peninsula as compensation for the toledo strip which went to ohio ten years later the cliff mine was extracting large lumps of copper from the earth and finding that copper could be extracted from rock layers by crushing the rock what remains at cliff many of the miners who came were from cornwall in england these miners displaced from home went to south africa australia chile cuba and the keweenaw in search of jobs which used their mining skills they built stone edifices most notably engine houses and round chimney stacks all over the world the remains of these still stand at cliff the stamp mill where rock was stamped with automated hammers to release the copper was a recent subject of excavation by michigan tech archeology students unfortunately all the excavation work had to be covered up ate the end of the excavation to preserve the wood the place i have selected is the spring where water emanated and was used to wash the stampings so that the light weight rock would be carried away and the fine pieces of dense copper fines would collect at the bottom of trenches to be harvested and sent for smelting there is one historic mention of using water to power the stamps using an undershot water wheel as happens in cornwall but no physical evidence remains the question is is this an adit or a spring an adit was manmade and used to empty water out of a mine that was collecting it a spring is a natural conduit of water out of rock the engine house is situated between the mine and the stamp mill and presumably power was supplied to both there are trails around the site and also large poorrock discarded as having not much copper piles the site is owned by the keweenaw county road commission who look on the piles of poorrock as source for gravel for the roads they periodically turn over surface layers of the piles so that mineral specimens can be found by rock enthusiasts they support historical and rockhound activities on their land as long as they are not actively on the site closed to the public when keweenaw county road commission or its subcontractors are actively using the site they also ask that large groups archeology projects etc contact them ahead of time to seek permission the linked web page <url> includes some highschool level project ideas for statistics explorations link updated on 5312020 sorry about that"
"467","GC3CE55",40.66447,-78.4024,"Type.earthcache","a lot of factors go into how a landscape is formed geological forces environmental forces wind water and human involvment this earthcache will study how coal has effected the landscape and environment in this area through its geological formation chemical breakdown and the human element of coal removal how does acidic mine drainage change the area physically this earthcache is located at the lloydsville water treatment site for the bells gap watershed within state game lands 158 while you are here take a look at the landscape and think about these questions parking coordinates are provided n 40deg 40135 w 078deg 24406 this should be an easy walk along a dirt state game lands road this cache is located on state game lands please wear the appropriate amount of orange during the primary hunting seasons to claim the find for this earthcache you must visit the location and provide the following information to the cache owner via email if all requirements are not completed your log can and may be deleted question 1 explain how the landscape here has been formed by geology what other forces have changed the landscape how question 2 read the left sign what type of coal is this area primarily rich in question 3 according to the amd facts listed on the middle sign about what percentage of stream miles in pennsylvania are polluted by acid mine drainage note that you will have to divide the estimated number of polluted stream miles by the estimated total stream miles in pa question 4 take a look at lloydsville run the stream as it flows away from the location of this earthcache what color is the stream bed what geological factor causes this what human factor question 5 according to the sign on the right the lloydsville run site treatment system utilizes what type of treatment system question 6 could amd affect the geology of this region how coal formation coal forms from the accumulation of plant debris usually in a swamp environment when plant debris dies and falls into the swamp the standing water of the swamp protects it from decay swamp waters are usually deficient in oxygen which would react with the plant debris and cause it to decay this lack of oxygen allows the plant debris to persist in addition insects and other organisms that might consume the plant debris on land do not survive well under water in an oxygen deficient environment pennsylvania particularly the appalachian plateau and allegheny mountain range was at one time a series of islands and swamps leading to the creation of a large amount of coal in the state before mining began there was an estimated 228 billion tons of bituminous and anthracite in pennsylvania as of 2001 12 billion tons still remain in the ground most of which is not economically feasible to mine american geologists recognized the importance of pennsylvanias coal region and named the upper carboniferous period the pennsylvanian period because of the abundance of coal in the state coal mining coal mining in pennsylvania helped fuel the industrial revolution in the united states in 1889 pennsylvania was americas number one coal producer that year alone more than 80000 tons of coal were mined statewide over the last two hundred years pennsylvania has produced more than onequarter of the nations total coal output the early steel and transportation industries relied heavily on local supplies of this valuable natural resource later coalburning power plants would supply much of the countrys electicity today coal still generates 40 of the worlds electric supply in pennsylvania 53 of all energy is currently produced from coal railroading railroading was the biggest business of the 19th century few industries affected the growth of america as significantly as the development of the ability to transport goods and people by rail with the completion of the horsehoe curve in 1854 and the transcontinental railroad in 1869 largescale expansion into the western united states became possible at this time the pennsylvania railroad company prr operated 7000 engines and 250000 cars making it one of the largest railroad companies in the nation the city of altoona was a major hub for the prr spur lines could now bring goods into the towns and export local resources to the mainline and ultimately the rest of the united states one such spur line was the bells gap railroad lloydsville the town of lloydsville played a crucial roal in the coal mining history of this region lloydsville is situated along the allegheny front where the lower alleghenies to our east meet with the higher peaks of the allegheny mountains to our west this area was home to numerous easily accessible seams of bituminous coal these seams were heavily minded to help fulfill americas energy needs during the industrial revolution the town of lloydsville prospered in the late 19th and early 20th centuries for several reasons lloydsville possessed abundant coal and timber resources ans well as a strong determined workforce in 1872 lloydsvilles population was made up of almost 600 coal miners the pennsylvania railroad mainline was only 20 miles away in the town of bellwood when the bells gap railroad spur was built in the 1870s it connected the people and resources of lloydsville with the prr mainline and the rest of the nation watersheds and acid mine drainage what is a watershed a watershed is a region of land that drains to a common waterway any precipitation that falls in the area of this earthcache will drain into a stream called lloydsville run lloydsville run flows into bells gap run which in turn flows into the bellwood reservoir the altoona city authority treats water from the reservoir and distributes it to thousands of residents living in blair county bells gap run continues beyond the bellwood reservoir and eventually drains into the little juniata river which is a tributary of the juniata river which flows into the sesquehanna river the chesapeake bay and ultimately the atlantic ocean watersheds are important because human activities directly impact the quality of the water within them by protection local watersheds you are protecting both your drinking water supply and crucial aquatic ecosystems acid main drainage amd the unfortunate environmental legacy of hundreds of years of coal mining in pennsylvania includes approximately 2400 miles of polluted streams irresponsible coal mining has resulted in pennsylvanias number one source of water pollution acid mine drainage amd acid mine drainage forms when the mineral pyrite also known as fools gold which is often associated with seams of coal becomes exposed to the atmosphere air and water break down pyrite into sulfuric acid and iron compounds as groundwater carries this sulfuric acid through the mine spoil it dissolves and leaches out toxic metals the resulting main drainage can contain not only iron but also other metals such as aluminum and manganese this combination of metals and acid can have disastrous effects on the ecosystem of a receiving stream recognizing acid mine drainage there are many methods and techniques that can be used to determine if a steam is being affected by amd the most recognizable indicator is the color of the water and steam bed the most common colors associated with amd are red and orange and these colors will stain materials that they contact this staining is known as yellow boy and consists of iron that was once dissolved in the water as this iron oxidizes it coats rocks and cements the stream bed bottom amd that appears white or milky can idicate the presence of aluminum other ways to determine the presence of amd include testing the ph sulfates and metals in the water another method is to look at the amount of diversity of insect life in a stream this technique is and excellent method to gauge the health of the stream by examining the abundance and diversity of macro invertebrates with careful analysis this method can provide insight into the degree of degradation in some cases the united states environmental protection agency lists bells gap run as impaired by metals silt and low ph values cleaning up acid mine drainage when amd is present two of the most common methods to address the problem are active treatment and passive treatment however it can be quite difficult and expensive to remediate land and water resources that have been affected by amd nonpoint source pollution active treatment active treatment is the continuous addition of chemicals to waters polluted by abandoned mine drainage frequently used chemicals include limestone hydrated lime soda ash and caustic soda active treatment systems are used throughout the commonwealth and the generally perform quite will however there are several drawbacks to active treatment of amd first most systems require a reliable power source for operation also the purchase and delivery of chemicals can be costly the chemicals must then be mixed and aerated into the polluted waters to settle system maintenance as well as sludge removal from settling posds creates a financial burden for system operators finally onsite chemical storage is often a problem because many abandoned mine sites are in remote locations passive treatment a passive treatment system is a great way to use natures own chemical and biological processes to treat amd and improve water quality early research into amd led scientists to find that natural wetlands were capable of filtering and treating amd pollutants without significantly harming the wetland system unlike and active treatment system there is no continuous activity of a person of machine treating the amd thus operating and maintenance costs are significantly lower for passive systems several types of passive treatment systems have been implemented across the state such as open limestone channels diversion wells anoxic limestone drains and vertical flow systems and limestone beds please be appropriately prepared and be careful please remember to enjoy the natural world and be careful not to damage it take nothing but pictures leave nothing but footprints as always cachein trashout congratulations to carels thegeosleuth and mi15team first to find congratulations to mumzdaword twentylives second to find explanation of difficultyterrain ratings difficulty obvious hiding spot in plain sight less than 10 minutes to find easily recognized as a geocache little or no camouflage gives cache type andor location of the cache no hint needed or gives exact location of the cache very little or no traffic andor muggle activity excellent gpsr reception terrain hard surface easily identifiable trail or path water hazard less than 1 inch deep less than 12 mile from paved parkingroad light less than 12 inches vegetation growth encounters with poisonous plants andor wildlife unlikelyseldom relatively flat not steeper than 1 unit of height to 12 units of distance geocache rating calculator by techblazercom h23131"
"477","GC3HX99",40.96785,-74.43732,"Type.multicache","cobb mine was also known as splitrock mine and produced iron ore from 1868 to 1881 stage 1 and 2 are roughly at either end of the mine which followed the vein of iron ore for about a quarter mile the cut in the ground is exposed for most of this distance its really something to see stage 1 brings you to a rock formation near the north end of the mine which is not far from the blue trail as you make your way towards stage 2 please be respectful of the nearby private property which is adjacent to this section of the mine stage 2 is placed near the foundation of a what must have been quite a substantial building at the south end of the mine parking is available on splitrock rd near the dam your best bet is to walk east on splitrock rd until the blue trail crosses near the power lines and then head north on the blue trail towards the cache using this route will give you about a 15 mile hike from the parking lot to the cache see the additional waypoint for the location of the intersection of the blue trail and a woods road that will bring you very close to stage 1 this trail map may also help visit link click the map button in the upper menu"
"496","GC79EFN",45.0683,-65.01588,"Type.earthcache","this earthcache is located at the end of bishop mountain road parking is available at the end of the road at certain times of the year the road is in fair shape in the summer months but is not maintained in the winter it will be a 13 km hike from the beginning of the road or a 100 meter walk if you drive to the bottom where there is a turnaround spot we took a suv down and had no problems there is a parking place if you dont want to go down the hill to the turnaround area check tide times before you go or you may not be able to make it to the sea cave and be careful on the wet rocks an adit is located west of where conner brook flows into the bay of fundy this adit a horizontal passage leading into a mine for the purposes of access or drainage is quite noticeable it is said that copper mining was done in this area in the past it looks like they were following a vein of some kind walking west towards margaretsville is the sea cave approx 60 meters past the adit and it is a pretty impressive sight you can find drill holes in the rocks if you look all around this area several hundred million years ago jurassic volcanic eruptions along a fault line poured out lava forming a ridge of basalt which today is known as the north mountain range it is usually just referred to as the north mountain and rises dramatically from the valley floor and tapers somewhat more gradually to the north and west where it meets the coast many parts of this coast and have vertical cliffs rising higher than 30 metres creating dramatic cliffs and headlands the vesicular tops of these flows created the ideal setting for the formation of the mineral crystals such as zeolites amethyst and agates the term igneous comes from the latin ignis meaning fire igneous is used to describe rocks that crystallize out of hot molten material in the earth called magma when magma pushes up through earths crust to the surface it is called lava both magma and lava cool and harden to form igneous rocks igneous rocks can be classified into two main categories intrusive and extrusive a trick to help kids remember intrusive and extrusive is to think of intrusive inside and extrusive exit extrusive igneous rocks come from lava lava at the surface is exposed to air and water which causes the molten rock to cool rapidly solidifying rocks at the surface cool too quickly for large crystals to form molecules in the lava do not have time to arrange themselves to form large crystals extrusive rocks have crystals that are too small to see without magnification a common example of an extrusive igneous rock is basalt some extrusive rocks such as obsidian and pumice cool so rapidly that they completely lack crystal structure and are considered a volcanic glass pumice is just like obsidian except it is tiny shards of glass sea caves are formed by the forces of the sea waves pounding up on the coast line caves are usually just as deep as the water waves can reach the weaker the rock formation like where a fault line is located is a likely place for a sea cave to be created all of the largest sea caves are in basalt a relatively strong host rock compared to sedimentary rock basaltic caves can penetrate far into cliffs where most of the surface erodes relatively slowly it is not necessary to go in the sea cave to obtain the answers if you do not wish to go inside that will be your choice be care along the shore as it is slippery and can easily fall i found on this note on the internet 2014 if you keep going west for a bit you will come across a huge mound of crumbled cliff and boulders with some small evergreens growing on top theres a smallabout 60 feet longtalus cave that twists around accessed from top of pile by trees if anyone wants to venture further i have not checked it out myself <url> answers to these questions need to be sent to the co in order to claim the cache 1 how tall are the cliffs at the site of the sea cave 2 what are the dimensions of the sea cave inside 3 what is the rock formation in front of the sea cave a small and pebbly b large jagged rocks c or flat lava flows 4 in this area of the seacave would it be intrusive or extrusive or a combination of both 5 what are 4 actions that would cause the formation of the sea cave required in accordance with the updated guidelines from geocaching headquarters published in june 2019 photos are now an acceptable logging requirement and will be required to log this cache please provide a photo of yourself or a personal item at the outcrop to prove you visited the site"
"509","GC1T009",35.55893,-89.24405,"Type.traditional","caves can be very magical and mysterious places caves are naturally dark except at the entrances usually contain various life forms and have interesting formations created from the different minerals that surrounds it some caves are very easy to get into while others are dangerous and require specialized equipment including but not limited to repelling gear and scuba gear to name a couple however all caves require the spelunker to have some kind of good lighting equipment and extra batteries unless you happen to be gift in the area of your eye sight to the point that you can clearly see in pitch black darkness a word of warning even the driest caves can flood in minutes when the weather turns to rain caves are formed over long periods of time the formations within caves take a very long time to form as well depending on the cave one can find interesting formations such as stalactites stalagmites columns curtains flowstone gypsum flowers soda straws etc btw can you remember which one is which between stalactites and stalagmites a stalactite holds tightly to the ceiling and a stalagmite just might reach the ceiling one day and form a column the minerals that help form a cave include limestone quartz calcite calcium sulfate and water sometimes these minerals have been pressed together to form interesting things these formations can be studied and a lot learned as to how the earth was formed sometimes you can see how there might be a quartz layer or a quartz stripe pressed between two layers of limestone sometimes you can see the shift that the earth made in that the limestone and other mineral or rock layer is uneven if you would like to see an image map of cave formations just click on the link here visit link caves can contain some unique wildlife some caves have blind fish albino crawfish bats even packrats while looking through a cave you might be able to see the shiny things that packrats have hidden in their hideyholes in tennessee alone there are more than 7000 caves so where are they some are commercialized and well worth the money to see them if you are interested but for the adventurous spelunkers caves are mostly well hidden in back woods on private property so if you plan to go spelunking make sure you plan your trip ask permission from the owner while giving the owner your caving plans and respect the laws governing caves and the land of the owner whats the bottom line be safe and have fun caves are very dangerous with many pitfalls but a rewarding experience caves as well as caches can be very magical this cache is no differentor is it the magic can cause frustration if your mind set is not in the correct mode part of the magic is knowing when the police are not checking for speeders from this magical cave be sure that this cave is well guarded but not in the guard and you will not need to get wet at all keep looking dont give up just let your gspr lead you to it again be safe and have fun ftf goes to bshful jimmylogan cogratulations"
"510","GCGY2V",41.84262,-78.94593,"Type.multicache","cornplanters cave cache the indian chief chief cornplanter was a very respected and important indian chief who was once the leader of the six nations of indians the land this cache is located on is now part of the allegheny national forest this property was once owned by chief cornplanter for years this area was known as sams rocks who was samuel morrison the son of cornplanters most trusted whiteman friend today its a popular and extremely scenic area known as rim rock its just across the river from jakes rocks and kinzua rocks other indian mountain top encampments to start park in the spacious parking lot and follow the wooden stairs down toward the cliff overlook find the indian stairway originally built by the cornplanter indians that goes to the bottom of the rocks then use your gps to find your way to the first cave located at n 41 50557 w 078 56756 and then use the coords found there to go to the main cache to enter the first cave you go up a smaller set of indian stairs and its a walkin cave if you can make it through the narrow hallway entrance you should have no problem the main cache is hidden in a smaller cave that is seldom visited and a fairly short distanceunder 14 mile from the first cave the main cache is just a fairly short walk from the first cave but through the woods bushwhacking and you will pass many large boulders the second cave is actually three the center cave is a large open overhang cave with two smaller caves to each side the actual cache is hidden in a smaller cave off the the side of the big main opening its up a narrow passage around the corner and just sitting on a shelf both caves are fairly easy safe but do require a small amount of climbing never more than 4 or 5 feet i set the difficulty and the terrain high just because you will be hiking in a boulder field not that its real difficult but the first cave is fairly narrow and some people may have difficulty with the narrow hallway what you will need to do this cache search would be good flashlight and grubby clothes a helmet bicycle or otherwise will help protect your head from the rocks and by all means bring your camera and binoculars this will undoubtedly be one of the most scenic geocaches you will ever see the rim rock overlook is one of the areas anfallegheny national forest best kept secrets there are a total of 5 caves in the rim rock area on the way back to the car a little nne of the first cave around the corner and up the hill is another tunnel cave that takes you back up to the main level its real safe and kind of fun to walk through as long as you watch your head near the low ceiling look for the rock marked billy boy around to the left there is parking and bathrooms at the rim rock area but be aware that the area closes 10pm to 6am the cache is in a smaller black plastic tool box it also contains a pen and logbook please sign the logbook and if you can take pictures"
"511","GC5BFDG",41.84262,-78.94593,"Type.multicache","the indian chief chief cornplanter was a very respected and important indian chief who was once the leader of the six nations of indians the land this cache is located on is now part of the allegheny national forest this property was once owned by chief cornplanter for years this area was known as sams rocks who was samuel morrison the son of cornplanters most trusted whiteman friend today its a popular and extremely scenic area known as rim rock its just across the river from jakes rocks and kinzua rocks other indian mountain top encampments to start park in the spacious parking lot and follow the wooden stairs down toward the cliff overlook find the indian stairway originally built by the cornplanter indians that goes to the bottom of the rocks then use your gps to find your way to the first cave located at n 41 50557 w 078 56756 and then use the coords found there to go to the main cache to enter the first cave you go up a smaller set of indian stairs and its a walkin cave if you can make it through the narrow hallway entrance you should have no problem the main cache is hidden in a smaller cave that is seldom visited and a fairly short distanceunder 14 mile from the first cave the main cache is just a fairly short walk from the first cave but through the woods bushwhacking and you will pass many large boulders the second cave is actually three the center cave is a large open overhang cave with two smaller caves to each side the actual cache is hidden in a smaller cave off the the side of the big main opening its up a narrow passage around the corner and just sitting on a shelf both caves are fairly easy safe but do require a small amount of climbing never more than 4 or 5 feet i set the difficulty and the terrain high just because you will be hiking in a boulder field not that its real difficult but the first cave is fairly narrow and some people may have difficulty with the narrow hallway what you will need to do this cache search would be good flashlight and grubby clothes a helmet bicycle or otherwise will help protect your head from the rocks and by all means bring your camera and binoculars this will undoubtedly be one of the most scenic geocaches you will ever see the rim rock overlook is one of the areas anfallegheny national forest best kept secrets there are a total of 5 caves in the rim rock area on the way back to the car a little nne of the first cave around the corner and up the hill is another tunnel cave that takes you back up to the main level its real safe and kind of fun to walk through as long as you watch your head near the low ceiling look for the rock marked billy boy around to the left there is parking and bathrooms at the rim rock area but be aware that the area closes 10pm to 6am the cache is in a lerge round container it also contains a pen and logbook please sign the logbook and if you can take pictures the the original cache page <url>"
"533","GC4299D",37.08805,-94.52428,"Type.traditional","the thing that makes this cave so unique is the fact that it is one of the largest geods in the world there are pictures in the joplin mineral museum that show people of that period down in the cave surrounded by crystals that were atleast 2feet in diameter and at least 3feet long unfortunatly when the mining industry slowed down and eventually stopped in this area thus ceasing their water pumping efforts the cave eventually filled up with water and has been sealed and inaccessable since about the 1930s the tristate mineral museum in joplin they have some pictures of the inside taken fairly recently with a remote camera system it is an asphalt parking lot now so its how they actually sealed the cave cdocuments and settingscompaqowneryourf78bf48ce2my documentsmy picturescrystal 1911jpg"
"538","GC4E6HD",36.66925,-83.45823,"Type.earthcache","for 100 years the national park service has preserved americas special places for the enjoyment education and inspiration of this and future generations celebrate its second century with the find your park geotour that launched april 2016 and explore these geocaches placed for you by national park service rangers and their partners geocachingcomplaygeotoursfindyourpark how to get there from gate city va 1 continue on us 2358421 to duffield va 2 turn left on us 58421 in duffield and continue 11 miles to stickleyville va 3 continue on us 58 west where us 421 turns north and through jonesville va 4 proceed on us 58 about 25 miles to ewing va although the highway is on a new bypass north of town 5 turn right at traffic lights onto va724 6 proceed about a mile to the thomas walker civic park 7 park in grass by pit toilets for day hike park back outside gate if returning after dark 8 trailhead is behind the covered pavilion which has only a handicapped parking space fees permits etc located in cumberland gap national historic park no permits or fees required for day hiking permit needed from main park visitors center if camping in the backcountry there is a trail register along the way dogs need to be on a leash nothing is to be removed from national park sites also as bears have been active especially in the white rocks area please leave no food or food remnants and if camping in the designated backcountry all folks are required to obtain a permit and to use the bear proof food storage cable systems available at each backcountry campsite click here to visit the park website description sand cave is named after its content the floor of the cave is covered by beautiful yellow and red sand this sand is the residual of the cave erosion and forms piles and dunes inside the huge cavern sand cave is a wind cave which means it is formed by winds destroying and sculpturing the sandstone sandstone is a very common sedimentary rock and perhaps the best known sedimentary rock it is formed in many environments the grains of sand are composed of individual crystals of various minerals such as quartz iron oxides manganese oxides and other impurities can cause bright and contrasting colors in sandstones these colors are what give sandstone its unique character and ornamental desirability the colors range from bright whites reds yellows oranges and even purples and greens colored sandstone is usually intricately banded in multiple colors which enhance its aesthetic appeal the sandstone deposits of sand cave are a beautiful part of the natural environment in the cave although sand cave is just a rock shelter there are various features of a true cave on hot summer days the inner parts stay cool the location has impressive acoustics voices echo off the sandstone walls decades ago churches used to hold singings at the site this was in prepark days when sand cave was accessible by road from the kentucky side sand cave is located in the cumberland mountain ridge north of ewing va this is one of several mountain ridges running from the east to the west what makes this ridge special is the fact that it is the border between kentucky and virginia and probably it is a bit higher than the other ridges the peaks are between 1000 and 1100m asl high route description route is a loop hike formed by taking 36mile ewing trail up to ridge trail west over to spur to sand cave and then back east to white rocks overlook finally return along ridge trail to 05mile shortcut down on white rocks trail to finish with ewing trail walk through picnic area past covered pavilion to trail leading into the woods first section is narrow hiking path until it reaches the wider horse trail continue up and up through series of switchbacks once up on top the trail will descend some on other side until ridge trail is reached take right until you see several horse hitching posts across the way is the spur trail to sand cave in kentucky which drops down some big steps just before the cave the trail breaks into several options far left on the steps may require some creek hopping during wet weather while the right is a narrow ledge to cross enjoy lunch at sand cave backtrack up to ridge trail take left to follow ridge trail passing sign for white rocks backcountry camping area until another set of horse hitching posts the sign here says only 200 ft to overlook but it involves a climb up a crevice to reach white rocks return back to trail signs to take left on white rocks trail down to ewing trail continue back down to vehicles be prepared to allow the better part of the day to make this hike to sand cave its all of 10 miles round trip taking the horse trail bring food water phone extra batteries and be sure to sign in on the trail guest box cache has been placed with permission of the cumberland gap national park director as a bonus while you are there stop by and see the waterfall which is just left of the cave in addition when looking in the cave go to the far right and see if you can find hieroglyphics on the wall as always enjoy and happy caching please feel free to upload your best photos and have fun answering these questions 1 what creates the opening of the cave 2 what colors do you see in the rock wall 3 what is to the right of the cave as you are looking out"
"544","GC3JEQA",43.63418,-79.9749,"Type.traditional","i am daniel and this is my limehouse cave cache i explored many of the caves around here and i encourage you to do the same i didnt make this too hard but i found a small cave just below the real cool big one you will have to reach up a bit and the cache is covered by a rock you may need a flashlight to find this one hope you enjoy the hunt for it ive had many great adventures on these rocks but you have to be careful as they can be slippery when wet"
