users	status	date	clean_log	i
Capt. Bob	Found it	11/25/2017	Too bad the renovation is still in progress and all access has been shut down. I took a picture at the map monument and enjoyed reading about the mines. The prison history was interesting too. Before my visit I did a little hiking along the ridge line and the trail reminded me of Mt. Tom. Must be part to the same Akrose outcrop. Attaching a few pics of my visit. Enjoyed my visit. TNLN Thanks!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Reader Ryn	Found it	10/8/2017	I vaguely remember visiting this place before with my family. It could've been 20 years ago now. I admit I had been putting off this cache, hoping the mine would open back up. I really wanted to check out the different rocks. Oh well. At least, I made sure to walk around and get a good look at the place. I'm not really all that fond of posting photos of me online, so you get my hand, and an assortment of exterior shots.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Ms.Marbles	Found it	10/8/2017	It was a rainy day but I needed to do this cache today as it is International EarthCache Day 2017. My husband wanted to go which worked out great as he took the pic of me there with my GPS. Years ago we use to come here when we lived in Enfield. It was nice to bring back some great memories!! TY for all the info and ty for my smiley and souvenir. (Sending the info to CO asap! )	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
saz1	Found it	9/15/2017	Very cloudy this morning so the view was not as good as it could have been. Bad hair day so picture is of plague and my walking stick.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
wm1004jedro	Found it	9/1/2017	Thanks for sharing history. We had fun exporing the prison from the exterior.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
greenforaday	Found it	6/25/2017	This was a really beautiful location! We enjoyed visiting. Fantastic view and very peaceful. Hope to come back to visit when the site opens up. Very interesting history!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
AuntieWendy	Found it	5/28/2017	Hope they renovate this site soon, so much to learn, and the view! TFTC!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Dacker0706	Found it	4/17/2017	Sent photo as requested, TFTC! #317	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
USSkicker	Found it	4/9/2017	I'd love to come back when its open again to see the mine for myself!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Howdy the Great	Found it	4/9/2017	After doing a bunch of caching on the ridge, we decided to stop here on our way back for our last cache of the day & 1st earthcache! I have visited numerous times when I was younger but def. would like to come back when reopened to complete activity 2. This was USSkicker's 1st time to the property & plans to come back with me. TFTC!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
geo.duck	Found it	1/11/2017	I haven't had a chance to visit the mine, but it does sound interesting. Hope it opens again soon. Answer emailed to the cache owners. TFTC!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
ADK4WINZ	Found it	10/9/2016	Visiting in town for a quick birthday celebration for Kenz and Messman with BigDaddy and SexyLady. Gave me an opportunity to find an Earthcache today in an area that still has a bunch on my not found list. Stopped here early and it was still raining. Found some parking and then located Activity 1 in no time. took some pictures and then headed home - TFTC.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
WizKids77	Found it	8/27/2016	First earth cache! So much info it was great! Can't wait for them to open up the prison for visitors.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Reader Ryn	Write note	4/5/2016	I visited this prison with my family when I was a kid. May have to see about visiting it as an adult. :)	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
glimpseofsunshine	Found it	3/26/2016	nice adventure	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
vinyrd	Found it	1/3/2016	Did this in Dec. but forgot to log.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
PDJennings	Found it	11/15/2015	We found this cache on our way to the airport for a flight back to California. But I grew up close to here and was in the mine a couple times when it was open. Hope they finish restoration successfully.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Spatial Distortion	Found it	10/23/2015	[center][size=3][i][b][green] Welcome to the Adventures of [/i][/b][/green][/size][/center] [center][size=3][i][b][green] Spatial Distortion [/i][/b][/green][/size][/center] In my quest to experience all that life has to offer I headed to Connecticut 2 a few days. I traversed the state from corner to corner. This enabled me to enjoy the beautiful colors of each region. What an outstanding time I had each and every step/mile of the way. The sights and sounds were simply beautiful. The weather was spectacular. Day 1 was 75 degrees and sunny. Day 2 was a true Fall experience. Full of sunshine but a bit cooler at 55 degrees. Had the sun roof open listening to a plethora of music from [url=https://www.youtube.com/watch?v=cpxsMyoXUZQ]Asia[/Url] to [url=https://www.youtube.com/watch?v=Vppbdf-qtGU]ZZ Top[/Url]. Picked up a bunch of Puzzles, Virtual's, The Oldest cache in Connecticut and the [i]only[/i] Web Cam cache in the state. Enjoyed fine cuisine from each corner of the state. Met several super nice people and had an all around [u]fantastic[/u] trip. Wish I had my new iPhone 6 with me but it didn't arrive until I returned home. Listened to [url=https://www.youtube.com/watch?v=OWqLtXXzldk]I'll Be by Edwin McCain[/Url] while the bright yellow and red leaves fell thru my sun roof and caressed the sides of my car. While watching the beautiful sunset over a Connecticut field I listened to [url=https://www.youtube.com/watch?v=oofSnsGkops]James Blunt - You're Beautiful[/Url]. That song turned into [url=https://www.youtube.com/watch?v=RBumgq5yVrA]Let Her Go[/Url] by Passenger and the sun slowly disappeared. [url=https://d1u1p2xjjiahg3.cloudfront.net/2306fdab-c20d-43d9-9824-dce114182089.gif]Connecticut Slide Show 1[/Url] [url=https://d1u1p2xjjiahg3.cloudfront.net/e323c20e-ce90-484b-a42a-65729ac05923.gif]Connecticut Slide Show 2[/Url] [url=https://d1u1p2xjjiahg3.cloudfront.net/1aa7c4fd-e87b-4989-91bb-faca4400e39f.gif]Connecticut Slide Show 3[/Url] [url=https://d1u1p2xjjiahg3.cloudfront.net/d0bce1e9-375a-4ee8-993e-7975cc711509.gif]Connecticut Slide Show 4[/Url] [url=https://d1u1p2xjjiahg3.cloudfront.net/6ea752e6-3a8a-4a35-badc-2cc32ae55155.gif]Connecticut Slide Show 5[/Url] My thanks to all the great cachers of Connecticut for their contributions to the [i]hobby[/i]. Thank You [b][u]CTGEOSURVEY[/u][/b] for your very cool Earth Geocache [center][green][b][size=6]|[size=5]|[size=4]|[size=3]|[size=2]|[size=1]|[size=1][i][b][green][u][green]Spatial Distortion[/u][/i][/b][/green][/size][size=1]|[size=2]|[size=3]|[size=4]|[size=5]|[size=6]|[/center][/green][/size][center][size=1]It's all about the Journey[/center] <!-------	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
RiverRats	Found it	10/11/2015	Beautiful day - nice view to the west. Sending photo and answers. Thanks	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
mtngirl4ever	Found it	10/11/2015	Haven't been here since my son in the picture was just a little baby. This was a awesome place for a day trip with the kids...esp in the hot summer (since the mine was always cool!). Wish it was still open and so did my son! This entry was edited by mtngirl4ever on Monday, 12 October 2015 at 00:59:30 UTC.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
HALFOZROACH	Found it	10/11/2015	Tftc	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Derickdavidbucknamsr	Found it	10/11/2015	My first earth cach .	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
KelleyFamilyKrew	Found it	10/11/2015	Tftc!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
GeoLovers608	Found it	10/11/2015	Happy Earth caching day 2015! Can't wait for this place to be open again! Lots of history and lots of fond memories here!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
6079smithw	Found it	9/15/2015	1200 hrs. Visited the Mine years ago when it was open and will surely return when it reopens. Info sent to CO and picture posted. TFTC	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
GrammaCindy2	Found it	9/7/2015	Visited this site with Loves to fish, sujayne and Rmt482...wanted to do the tour but was closed for renovation...view from the plaque was very nice.. will be back...sorry about the late log, am catching up...thanks for bringing us here.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
rmt482Ruthie	Found it	9/7/2015	Out with Loves to Fish, Sujayne and GrammaCindy2 for an afternoon of caching. Very interesting here. Too bad the area is closed for renovation. Would have enjoyed visiting there. Looked around and took the needed pictures. Thanks for bringing me here. TFTC	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
sujayne	Found it	9/7/2015	I didn't know that CT has mineral deposits such as copper. I visited a copper mine near Tucson, AZ about 10 yrs ago and the tour was very interesting. I've attached a photo of my GPSr at the plaque. Thanks for bringing me here.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
loves to fish	Found it	9/7/2015	Found while in area..wished the buildings were open..will come back when it is...found the plaque, very nice view..will email the answer...Thanks for bringing us here.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Dirty-Rat	Found it	8/28/2015	Stopped by on my easy home from work (left early just to go here). Very nice view of the countyside. Dirty-Rat was here	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
TedtheExplorer	Found it	8/22/2015	Found it during our weekend trip to CT. Too bad the mine is closed sounds like a fun place to visit. The outside if the prison was cool. I wonder if it could hold teddy?	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Rad Booley	Found it	8/16/2015	Earth science never ceases to fascinate me... it's amazing to think that the beautiful, tree-covered rolling hills to the west of the Old Newgate Prison and copper mine were once a hellish sea of molten rock and flowing lava which went through so many changes over millions and millions of years... mind-blowing! Not to mention the terrific geological forces that altered the shape and structure of the mine and formed the surrounding hills-- forces that are still at work today and which are no doubt responsible in part for the needed repairs of the mine and prison buildings. I last visited the mine in 2008... hope it re-opens soon! Am sending the required pictures and answer to the question in Activity #2. Once again, thank you so much for another excellent EarthCache!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Geo-mule	Found it	8/15/2015	Found and took picture emailed co	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Daisy+2	Found it	8/9/2015	tftc	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
RunningRon	Found it	8/9/2015	Myself and two of my brothers went there today and took pictures. the picture should be on it way. tftc This entry was edited by RunningRon on Sunday, 09 August 2015 at 23:07:14 UTC.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
carllokids	Found it	8/9/2015	Beautiful view. Tftc	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
toxictoad	Found it	8/9/2015	Tftc	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
TUC02	Found it	8/1/2015	I can't wait for the work to be complete. I moved to the area in 2013 and have wanted to go inside since the first time I drove by.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
ZSteve	Found it	7/3/2015	On a quick tour of the area before I have to head back to Providence to watch my daughter dance in the North American Irish Dance Championships. Stopped by first thing this morning. Looked like an interesting spot. Maybe I'll get a chance to come back some day and take a tour. Thanks for a nice earthcache!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
KenandJeanne	Found it	5/31/2015	Decided not to listen to the weather man and it was a good decision since it never rained while we were caching. Sent picture and information to cache owner.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Punka13	Found it	10/12/2014	A beautiful view. Wish it was open so we could explore inside but it's beautiful day to be outside. First Earthcache and first Connecticut cache! A definate favorite!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Magical Sea Turtles	Found it	10/12/2014	Here is our picture!! We will send the info soon!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
12 Legged Cachers	Found it	10/12/2014	Will send pics/answers soon.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
				https://www.geocaching.com/geocache/GC307XJ_penns-cave
				https://www.geocaching.com/geocache/GCKQXH_pennies-from-heaven-at-the-old-dick-mine
				https://www.geocaching.com/geocache/GCH6N3_pierrepont-cave-rave
				https://www.geocaching.com/geocache/GC1RXZ8_pig-mans-cave-rock-shelter
				https://www.geocaching.com/geocache/GC25B2Q_pmc-lite-not-finleys-mine
Smilch	Found it	1/6/2020	Made the great hike, for January 6 (2020) I cannot gripe at all about the weather! Mild, relatively dry for the most part, and sunny. A great day for a walk in the woods. I arrived at GZ cave entrance with little problem. Thinking "I hope there are no hibernating bears are inside!" I made find #1779 which was GC2D73E “Silas Doty's Cave” about 11:20 AM on a beautiful Monday. A great day to be outside Geocaching. TFTC!	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
TeamOHE	Found it	10/13/2019	Thank you so much for this it was very pretty met a few kids who told us an easier way to get out of the woods	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
yungfelo	Found it	10/5/2019	Caching in the Michigan. Silas Doty was the main target cache of the day since I need it to qualify for a challenge. Cool spot. Thanks for bringing me here. Answers sent. Favorite. Tftc	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Moonlitzoo	Found it	9/28/2019	Thank you for creating this earth cache,, and bringing us here. It was very cool visiting a cave, gaining knowledge. We trecked it to the near by fizzy cache. I had been looking at these two caches for months, maybe 8 or more, wanting to come visit the cave. Visiting from Kalamazoo. Today we hit :::tri state marker, got a state souvenir, visited a cave, 4:traditional state park caches in GT93, 4:traditional 4:virtual 1:earthcache 1:letterbox ;; 14 in all. Busy day..... People can be so undeserving--- meaning the decapitated tent, all the mess looked as if they left right before storm. Very cool cave, deserves better patrons. gets a fp	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
HikeMic	Found it	9/15/2019	This was super cool, someone left some camping gear but it is deserted so don't hesitate when you see a tent. Careful hiking in it's fairly steep.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
kzooOtters	Found it	9/2/2019	I had decided on a SE cache run last night. I made a short list of high values target caches for the day. My faithful companion and I left Kalamazoo, and had a great day. We found all our target caches, and attended an event. We had perfect weather too. Not too hot or humid, and mostly sun to make you smile. I even made time to stop and visit a life long friend for a bit. Not a bad way to enjoy Labor Day. Pretty neat spot I would have never visited or learned about. There is an abandoned tent & camp site 25 yards from GZ. Way more than I could hike out with. Might be worthy of a CITO this fall. TFTC PS, answers sent.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Stumpy75	Found it	8/5/2019	Nice hike on a beautiful summer day. Answer sent. Thanks for showing me this again.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Zorkmid	Found it	7/27/2019	We enjoyed the hike to the cave and the association with Jesse James made it all the more interesting. TFTC.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
bestactuary	Found it	7/26/2019	Cool cave! Found with Jatmo and Zorkmid the day before the geobash proper. Zorkmid will send in the answers. TFTC.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
jatmo	Found it	7/26/2019	This and a nearby cache were targets when in the area for Midwest Geobash. Neat cave and a nice bit of history. Zorkmid will submit answers for the group.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
JenOvations	Found it	6/8/2019	Decided to give this a go after hitting up the letterbox. Found with #nailedit! and kageec. Enjoyed learning about the cave. TFTFun	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
#nailedit!	Found it	6/8/2019	Out with Jenovations and KageeC for the traditional just past these caves! TFTC!	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Tiger-5	Found it	3/15/2019	Geocaching with my Uncle Starkacher.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Starkacher	Found it	3/15/2019	#6000 - 1:03 PM - I am from Toledo. I planned a caching trip with my Nephew Billy (aka Tiger-5) to get my 6000 milestone at the Silas Doty Cave Letterbox and pick up other nearby caches and also get some caches around Montpelier Oh. However, the conditions were too hazardous to attempt the Letterbox for the milestone, so I settled for the Earthcache at the namesake cave. It was drizzling with occasional snow all day with a cold wind blowing. I managed to find 20 caches and DNFed 3. The trek down the steep ravine to the cave almost results in several falls as the ground was soft mud with a thin leaf cover and more moisture was coming done. The entrance to the cave was filled with water preventing any close examination. Since I was not able to get to the Letterbox, I will need to return here again after a long dry spell. I will take some time on that trip to explore the cave. TFTC!	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Joannvande	Write note	10/16/2018	Revisited Silas Doty cave with geoidnac.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
geoidnac	Found it	10/16/2018	Had a nice hike into the cave with my brother and sister-in-law. A little muddy and slippery just before the cave. It was fun to learn about the history of Silas Doty. Thanks.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Bigdog | Charlie	Found it	10/13/2018	A nice scary place.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
K8tee	Found it	10/13/2018	A beautiful day for a hike! Also a very interesting area.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Merlin1392	Found it	7/29/2018	Wow! I think I made this doubley hard today. My GPSr put me at the "No Trespassing" gate, so I double checked the cache page and saw where I should park. Heading down Skoes road, I thought I found the right parking, but the NCT wasn't as well marked as I was accustomed to. Oh well, there looked to be a trail through the grass, so I took it. The night had been plenty wet with dew, and after about 50' my shoes, socks and pants were soaked! And, I still had plenty to go! Heavy bushwhacking, I finally found a grass mowed area, hmmm. I took that for a bit, and then headed through country again, only to resurface at a trail. Wahoo! A blue mark typical of the NCT. This took me up and around, but eventually came upon the cave where I captured pictures and information. However, I had to return the same way I came in as I had no idea where the NCT would put me on Skoes Road. Thanks for the grand adventure! The answers you seek have been sent. Find #3,070	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Kneel More	Found it	7/29/2018	This is now my favoritist Earth Cache. It was a hike to get there and getting back. This is a cool area and awesome stuff to learn. I sent my message with my answers.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
PuzzledLady	Found it	7/28/2018	Out with friends caching along the way. Thanks to all who placed and maintained these caches for us to enjoy TFTC Answers sent in by Diggin up bones	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Diggin' Up Bones	Found it	7/28/2018	OCW friends grabbing caches in the area and along the way....Always fun times to be had. Answers sent.T4T$!	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
Bavinator	Found it	7/28/2018	Found the cave and Brent sent in the answers.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
DNStephens	Found it	7/28/2018	Off to the MidWestGeoBash today with BWJM, Bavinator, DNStephens (me), Norshley and FBax so signed logs with our initials BBDNF. Left home at 5 am with an ambitious list and we had a great day. My first time at the MidwestGeoBash so lots to see and do including all the caches on the grounds and around the area. Thanks for the adventure. BWJM has sent answers for the group. Worth a favourite point.	https://www.geocaching.com/geocache/GC2D73E_silas-dotys-cave
