GC,lon,lat,type,Description
GCQV5M,42.75822,-71.47943,Type.earthcache,mine falls park a 325acre park located in the heart of the city of nashua includes forest wetlands and open fields which are crisscrossed by a variety of nice trails the park is the home to the cove an excellent example of an oxbow lake this earth cache will take you to the educational overlook deck at the cove where you will be able to learn about the formation of an oxbow lake and partake of an excellent view of the cove educational information the course of new england rivers most new england rivers start in steep mountain areas as a stream with rapidlyflowing cold water such a stream flows down a mountain valley and merges with other streams to form a small river as the small river flows further downhill tributaries smaller rivers or streams flow into the river increasing the amount of water in the river the rapidly flowing water erodes wears away soil from the banks to carry it downstream eventually the river reaches areas where the surrounding terrain flattens out and the river widens in flat areas the flow of the river slows down allowing the soil carried in the river to settle out in a process called deposition the speed of the flow in the river varies wherever the river goes around a corner causing the river to meander follow a winding path as it crosses areas that are mostly flat sometimes a long meander is cut off from the rivers regular flow of water and a crescentshaped lake is formed such a lake is called an oxbow lake due to the distinctive curved shape that results from this process the sequence of steps leading to the formation of an oxbow lake is illustrated below the formation of an oxbow lake a gently meandering river flows through an area of relatively flat terrain water flows at different speeds as it goes around bends in a meandering river on the outside banks of corners the river water moves the fastest causing lateral erosion and undercutting meanwhile on the inside banks of corners in the river the water flows more slowly leading to sediment settling out of the water and building up on the inside banks this process is called deposition gradually the inside banks are filled in with accumulated deposits and the outside bends extend further and further forming a wide loop in the river the loop continues to bend further and further until a thin strip of land called a neck is created at the beginning and the end of the meander eventually the narrow neck is cut through by either gradual erosion or during a time of flooding spring flooding is commonplace in new england when rivers rise due to snow melting near the rivers source when this happens a new straighter channel is created diverting the flow of the river from the loop into the new channel deposition finally seals the cutoff from the river channel leaving a horseshoeshaped oxbow lake the water in the oxbow lake is no longer refreshed by the river transforming the habitat from one supporting river life to one that is hospitable to pond life the oxbow lake in mine falls park the oxbow lake here in mine falls park probably formed as described above in order to log this earth cache you will need to do the following visit the oxbow lake at mine falls park the primary parking area for the cache is at n 42 45615 w 071 29447 follow the marked trails to the educational overlook deck at the listed coordinates read the formation of a landform sign next to the educational overlook deck the sign describes how oxbow lakes are formed you will need to read the sign carefully to find verbatim answers to the following two earth science questions over what period of time did the cove form this answer should be two words after flooding there are portions of something remaining what is the something this answer should be four words email the cache author with the answers to the above two questions before posting your find other resources for further information on how oxbow lakes develop you may wish to see the following resources video why do rivers curve from minuteearth animation of oxbow lake formation from science education resource center of carleton college
GC15MAP,40.04355,-75.21343,Type.traditional,the hike into this cache will take you along a small stream that empties into the wissahickon creek along the way you will see the remains of an old fashion swimming hole that was bulit by the locals by damming up the stream a little further downstream are the remains of an old mill the tree cover is pretty thick but there are a few spots that open up to give you a good view of the sky near the cache site is a small manmade caven4002613 w07512775 a book i read on the area said that this cave is what is left after a failed attempt at oneman mining in the wissahickon vally bring a flashlight if you want to enter the cave the cache is hidden aprox 40 feet off the small trail that leads to the cave a word of caution to those with small children the small path to the cave runs along the side of a steep hillside and can be slippery in wet weather a missstep will land you in the stream 20 feet below you will find on street parking at n 4002577 w 07513191 the trail is easy walking until the last 150ft or so the cache is a green 50 cal ammo can inside you will find an assortment of trade items and a blue log book wpen to sign we have enclosed a special baggie of loot for the first to find good luck and enjoy a nice walk in the woods
GC4GTGD,42.74952,-71.50183,Type.traditional,for those new to this cache it is one of many located in mine falls park and is an easy walk just off a trail on the south side of mill pond parking is ample but for this particular cache i parked in the parking area for conway arena as the name may or may not imply you are looking for a v shaped set of trees there are many in the area but the cache is near the set that face north you can also see a bridge looking northeast please place the cache back exactly as found to avoid muggle detection like the previous cache that was put here you are looking for a small geocaching lock and lock box which contains a log a pencil a tb for the ftf always beware of muggles as this is a popular location there is no night caching allowed in mine falls park ftf team bedrock stfteam spoonhead cyclonesteves geocaches 1 gc2nrf5 handycapable microindiana archived 2012 2 gc2z82t inbetween things microohio archived 2012 3 gc447xv wii would like to play mysterynew hampshire archived 2013 4 gc48xfp cyclonesteves 500th find nanomassachusetts archived 2013 5 gc4d2qg cyclonesteves grand tb hotel largenew hampshire archived 2015 6 gc4gtgd victory is mine smallnew hampshire 7 gc4hbd7 cyclonesteve and the wizards challenge micronew hampshire 8 gc4hedv cyclonesteve and the geocachers stone othernew hampshire 9 gc4jwx7 cyclonesteve and the chamber of swag smallnew hampshire 10 gc4mde5 cyclonesteve and the multicache of azbakam multinew hampshire 11 gc4mdem cyclonesteve and the goblet of water smallnew hampshire 12 gc4mdf1 cyclonesteve and the order of the geocache smallnew hampshire 13 gc4mdft cyclonesteve and the ftf prince micronew hampshire 14 gc4mdgm cyclonesteve and the deathly dnf othernew hampshire coownership with typhoonruth good luck this cache was originally open to premium members but that restriction was lifted
GC28Z88,42.93632,-79.23468,Type.traditional,this cache is jammed full of extra stuff that i have bought over the years to use to fix the car or to do house repairs this stuff ill pretty well never use or i just have too much of i even threw in a hearty dvdarh arharh byop and please re hide the cache as found or better thanks
GC19GQ6,37.96253,-86.05773,Type.earthcache,on the cliff walls of the ohio river is this little known cavespring its refered to as daniel boone cave by cave explorers and locals it is of limits to caving or exploring the entrance is high up on the side of a cliff and is only accessable by private property viewing the cave can be done from the ohio river it can be reached by boat along the ohio river there is a railroad and railroad bridge that goes to the falls this area is off limits its private property of the railroad and to be on the bridge or tracks would be tresspassingyou will get muddy when going to this earth cache so be prepared the view is worth the hike a cave is a natural underground void large enough for a human to enter some people suggest that the term cave should only apply to cavities that have some part which does not receive daylight however in popular usage the term includes smaller spaces like sea caves rock shelters and grottos millions of years ago the beautiful bluegrass landscape of kentucky was covered by a shallow sea deposits of tiny marine animals and plants on the sea floor formed thick layers of limestone when exposed to weather these layers of limestone became the worlds best cave forming rock rainwater mixed with carbon dioxide in the air and soil formed a mild acid which slowly worked its way into cracks in the limestone and began to dissolve passages karst is a term which describes cave country karst areas are places where dissolved openings in the underlying bedrock allow a substantial amount of groundwater to move for long distances with relatively little filtration karst features include caves sinkholes springs and underground rivers in karst areas water enters the ground through natural sinks if you are driving through otter creep park watch for bowl shaped depressions in the park that look like meteor craters the presence of these sinkholes tell you that you are in cave country once water sinks underground it flows through natural caverns and eventually comes back to the surface through springs daniel boone cave is also a active spring a spring is a point where groundwater flows out of the ground and is thus where the aquifer surface meets the ground surface dependent upon the constancy of the water source rainfall or snowmelt that infiltrates the earth a spring may be ephemeral intermittent or perennial continuous daniel boone cave springs is perennial to get credit for this earth cache post a picture of yourself face included with the cavesprings in the background and answer the following questions 1 how high is the cave opening with the water coming out of it 2 is this cavespring ephemeral or perrenial logs with no photo of the actual earthcachergeocacher face must be included logging the find or failure to answer questions will result in a log deletion exceptions will be considered if you contact me first i realize sometimes we forget our cameras or the batteries die logs with no photos will be deleted without notice i have used sources available to me by using google search to get information for this earth cache i am by no means a geologist i use books internet and asking questions about geology just like 999 percent of the geocachers who create these great earth caches i enjoy earth caches and want people to get out and see what i see everytime i go and explore this great place we live in
GC4B8P0,43.10528,-77.65265,Type.traditional,during the april 2013 cito event momd spooko13 and mud dancer teamed up near the golf clubs driving range at genesee valley park while we didnt find a lot of typical trash we did find lots of golf balls lots and lots and lots and lots of golf balls many were chewed up by the lawn mower and thrown into the woods and many were usable so we discussed what to do with some of them and like any good geocachers we came to the only logical conclusionuse them as part of a series of golfthemed hides the series consists of three traditional hides placed individually by the three of us and then a final collective unknown type cache the three traditional hides each contain a portion of the coordinates for the final hide which is represented by n43 abcde w 077 fghij there will be something golfrelated used in some fashion at each hide some of the hides may be close to a golf course so be sure to use stealth if you are in a high muggle zone or near a hole that is currently being played for this particular cache you are looking for a regularsized container sign the log and get a smiley for finding it also be sure to read the instructions inside the container to obtain three of the numbers youll need for the final gc4efqc club house insect repellent strongly advised happy caching and remember to jot down the information for the final cache other caches in the mini golf series is that really my score fore club house congratulations to death walker on his ftf
GC1RYC5,48.62532,-67.32883,Type.traditional,voici des renseignements sur lancienne mine de silice de stvianney il existe actuellement un vaste gisement de pierre silice blanche dans la matapedia qui part de la decharge du lac matapedia et qui remonte jusqua saintvianney cest avec cette pierre que fut jadis construite leglise damqui on a bien tente a une certaine epoque de mettre en valeur cette ressource en voulant lincorporer a la fabrication de composantes electroniques mais la purete de la silice et les couts en auraient empeche leclosion mais le gisement est toujours la et rien nindique quil ne pourrait pas etre exploite pour en extraire de la pierre de taille et contribuer de facon unique a la diversification de leconomie il la deja ete il peut le redevenir source visit link a noter comme il sagit dun terrain prive nous navons pas mis de cache sur le territoire de la mine cependant sil ny a pas de voiture dans le secteur nhesitez pas a passer la barriere et a jeter un coup doeil a lancien cassepierres contenu de la cache log book crayon et note dexplication
GC6HM9Z,40.80543,-76.36887,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 1 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas centralia is a borough in what county a luzerne county = 40 49132 76 22382 b carbon county = 40 48753 76 22598 c northampton county = 40 49739 76 22167 d columbia county = 40 48017 76 22332 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HMXW,40.79312,-76.37752,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 10 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas what year was centralias land bought by the locust mountain coal and iron company a 1879 = 40 47537 76 22382 b 2016 = 40 48712 76 27598 c 1973 = 40 48765 76 22207 d 1842 = 40 47522 76 22781 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HMYT,40.79325,-76.36715,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 11 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas alexander rae a mining engineer moved his family in and began planning a village laying out streets and lots for development rae named the town centreville in what year did it change to centralia because the us post office already had a centreville in schuylkill county a 1865 = 40 47704 76 22318 b 1873 = 40 48753 76 22598 c 1860 = 40 49739 76 22167 d 1975 = 40 48008 76 22334 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HN03,40.7927,-76.3686,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 12 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas the centennial vault a time capsule in centralia pennsylvania was opened early someone attempted to unearth and steal itwhat was the date and year it was opened a july 4th2014 = 40 48412 76 22852 b aug 7th2014 = 40 48753 76 22598 c october 4th 2014 = 40 47662 76 22437 d june 7th2014 = 40 48008 76 22334 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HN1R,40.79702,-76.36798,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 13 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas the fire burns in underground coal mines at depths of up to 300 feet over an eightmile stretch of 3700 acres as of 2015 the fire continues to burn at its current rate it could burn for over 250 more yearshow many years has the fire been burning a 49 = 40 49854 76 22472 b 56 = 40 47368 76 22498 c 53 = 40 47522 76 22213 d 60 = 40 48908 76 22304 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HN2P,40.79598,-76.36893,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 14 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas the hazeldell colliery mine in centralia opened in what year a 1860 = 40 47491 76 22485 b 1862 = 40 48753 76 22598 c 1863 = 40 49779 76 22167 d 1864 = 40 48048 76 22374 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HN3D,40.79442,-76.36938,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 15 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas the first two mines in centralia opened in 1856 the locust run mine and the coal ridge mine afterward came 3 more mineswhich one is in the correct order a the hazeldell colliery minethe centralia mine the continental mine = 40 47524 76 22356 bthe centralia minethe hazeldell colliery minethe continental mine = 40 47218 76 22958 cthe continental mine the hazeldell colliery mine the centralia mine = 40 49321 76 22767 d the nishollow minetravelnbhappy21 mine corppj07s great coal company = 40 48108 76 22534 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HN46,40.79127,-76.37957,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 16 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas alexander rae the towns founder was murdered in his buggy by members of what group on october 17 1868 a team geocachers = 40 49483 76 22422 b the union of the coal miners= 40 48753 76 22598 c the molly maguires = 40 47729 76 22061 d decer and the boys = 40 48508 76 22334 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HN4P,40.79173,-76.378,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 17 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas according to numbers of federal census records the town of centralia came to its maximum population of how many in the year 1890 a 2761 = 40 47629 76 22025 b 1200 = 40 48773 76 22598 c 1356 = 40 49739 76 22657 d 2635 = 40 48008 76 22334 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HQEV,40.79442,-76.3673,Type.mystery,link to centralia information that could help you link 2 to centralia information that could help you this is 18 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas at its peak centralia had seven churches five hotels twentyseven saloons two theaters a bank a post office and how many general and grocery stores a 5 = 40 49132 76 22382 b 3 = 40 48753 76 22598 c 8 = 40 49739 76 22167 d 14 = 40 47506 76 22616 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HQF6,40.79072,-76.37738,Type.mystery,link to centralia information that could help you this is 19 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas what year did centralia council acquired the rights to all anthracite coal beneath centralia a 1963 = 40 48582 76 22482 b 1950 = 40 47720 76 21929 c 1945 = 40 49513 76 22027 d 1947 = 40 47596 76 22036 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
GC6HMB9,40.80295,-76.3685,Type.mystery,link 1 to centralia information that could help you link 2 to centralia information that could help you this is 2 of 50 caches there is nothing at the post coordinatesyou must solve the puzzle below which is multiple choice and every question can be found the on the internet or the cache page centralia is a borough and a nearghost town in columbia county pennsylvania united states its population has dwindled from over 1000 residents in 1981 to 10 in 2010 as a result of the coal mine fire that has been burning beneath the borough since 1962 centralia which is part of the bloomsburgberwick micropolitan area is the leastpopulated municipality in pennsylvania and is completely surrounded by conyngham township all real estate in the borough were claimed under eminent domain and therein condemned by the commonwealth of pennsylvania in 1992 and centralias zip code was discontinued by the postal service in 2002 state and local officials reached an agreement with the remaining residents on october 29 2013 allowing them to live out their lives there after which the rights of their houses will be taken through eminent domain just a simple run down of the towns historythere is a lot more to learnwhich is why the reason behind all the puzzlesmore people should take the time to learn about the history of their surrounding areas centralia population has dwindled from over 1000 residents in 1981 to how many in 2010 a 4 = 40 48666 76 22666 b 10 = 40 48009 76 22474 c 6 = 40 49819 76 22230 d 9 = 40 48113 76 22915 there is only one right answer so make sure you do your homework there is no ftf prize and you will need a pen to sign the log
