GC,title,url,lat,lon,country,province/state,county,numfinds,numpage,,,
GC19GVY,Cocagne Island Sea Cave,https://www.geocaching.com/geocache/GC19GVY_cocagne-island-sea-cave,N 46° 23.451,W 064° 35.673,Canada,New Brunswick,Kent,74,3,,,
GC2637N,The old cave,https://www.geocaching.com/geocache/GC2637N_the-old-cave,N 47° 21.477,W 068° 13.742,Canada,New Brunswick,Madawaska,18,1,,,
GC2CJVA,Martin’s Head Sea Cave,https://www.geocaching.com/geocache/GC2CJVA_martins-head-sea-cave,N 45° 29.596,W 065° 12.504,Canada,New Brunswick,Saint John,36,2,,,
GC5F28P,Tree Cave,https://www.geocaching.com/geocache/GC5F28P_tree-cave,N 45° 03.871,W 066° 50.125,Canada,New Brunswick,Charlotte,6,1,,,
GC5ZD49,Jack Tar's Cave Multi-Cache,https://www.geocaching.com/geocache/GC5ZD49_jack-tars-cave-multicache,N 44° 38.177,W 066° 51.183,Canada,New Brunswick,Charlotte,13,1,,,
GC61098,Crystal Cave TB Hotel,https://www.geocaching.com/geocache/GC61098_crystal-cave-tb-hotel,N 46° 00.367,W 066° 45.774,Canada,New Brunswick,York (New Brunswick),18,1,,,
GC7RNQC,Split Rock Trail-Baby Cave,https://www.geocaching.com/geocache/GC7RNQC_split-rock-trailbaby-cave,N 45° 08.698,W 066° 12.930,Canada,New Brunswick,Saint John,18,1,,,
GC7RNRC,Split Rock Trail-Big Cave,https://www.geocaching.com/geocache/GC7RNRC_split-rock-trailbig-cave,N 45° 08.684,W 066° 13.840,Canada,New Brunswick,Saint John,15,1,,,
GCH76C,4x4 Maze and Bat Cave,https://www.geocaching.com/geocache/GCH76C_4x4-maze-and-bat-cave,N 45° 13.397,W 063° 28.878,Canada,Nova Scotia,Hants,41,2,,,
GCR5CB,Prisoner's Cave?,https://www.geocaching.com/geocache/GCR5CB_prisoners-cave,N 44° 36.882,W 063° 36.090,Canada,Nova Scotia,Halifax,116,5,,,
GCVGWA,Bushwhackers Cave,https://www.geocaching.com/geocache/GCVGWA_bushwhackers-cave,N 45° 45.192,W 062° 09.747,Canada,Nova Scotia,Antigonish,47,2,,,
GCW5P4,Ward Falls Cave,https://www.geocaching.com/geocache/GCW5P4_ward-falls-cave,N 45° 26.841,W 064° 25.172,Canada,Nova Scotia,Cumberland,15,1,,,
GCWB1Q,Crystal Cave,https://www.geocaching.com/geocache/GCWB1Q_crystal-cave,N 45° 43.453,W 061° 53.782,Canada,Nova Scotia,Antigonish,1,1,,,
GCWNQ2,Harbourview Cave,https://www.geocaching.com/geocache/GCWNQ2_harbourview-cave,N 45° 59.626,W 061° 31.916,Canada,Nova Scotia,Inverness,18,1,,,
GCWQQM,The Cave (Ironbound Series),https://www.geocaching.com/geocache/GCWQQM_the-cave-ironbound-series,N 44° 26.245,W 064° 04.606,Canada,Nova Scotia,Lunenburg,113,5,,,
GC10CQY,The Talus Cave,https://www.geocaching.com/geocache/GC10CQY_the-talus-cave,N 44° 48.397,W 063° 08.619,Canada,Nova Scotia,Halifax,130,6,,,
GC13V6K,Hayes Cave,https://www.geocaching.com/geocache/GC13V6K_hayes-cave,N 45° 14.593,W 063° 31.658,Canada,Nova Scotia,Hants,51,3,,,
GC14E80,East Ironbound Sea Cave (Ironbound Series),https://www.geocaching.com/geocache/GC14E80_east-ironbound-sea-cave-ironbound-series,N 44° 26.236,W 064° 04.585,Canada,Nova Scotia,Lunenburg,92,4,,,
GC14ZN4,Gypsum Arch Cave,https://www.geocaching.com/geocache/GC14ZN4_gypsum-arch-cave,N 46° 08.169,W 060° 38.069,Canada,Nova Scotia,Victoria (Nova Scotia),24,1,,,
GC15G78,Halls Harbour Sea Cave,https://www.geocaching.com/geocache/GC15G78_halls-harbour-sea-cave,N 45° 12.019,W 064° 36.559,Canada,Nova Scotia,Kings (Nova Scotia),70,3,,,
GC189TF,Piper's Cave,https://www.geocaching.com/geocache/GC189TF_pipers-cave,N 45° 44.700,W 060° 42.477,Canada,Nova Scotia,Richmond,20,1,,,
GC1B4HW,RLBP #15 - The Bat Cave,https://www.geocaching.com/geocache/GC1B4HW_rlbp-15-the-bat-cave,N 44° 37.614,W 063° 40.403,Canada,Nova Scotia,Halifax,90,4,,,
GC1CB1H,Cave Man Cache,https://www.geocaching.com/geocache/GC1CB1H_cave-man-cache,N 44° 38.954,W 063° 21.265,Canada,Nova Scotia,Halifax,242,10,,,
GC1DZFJ,Skye Mountain Cave,https://www.geocaching.com/geocache/GC1DZFJ_skye-mountain-cave,N 45° 57.724,W 061° 12.306,Canada,Nova Scotia,Inverness,15,1,,,
GC1HCQ5,NPT07: Bat Cave,https://www.geocaching.com/geocache/GC1HCQ5_npt07-bat-cave,N 44° 54.313,W 065° 01.842,Canada,Nova Scotia,Annapolis,53,3,,,
GC1Q3Z7,Fisher's Refrigerator Cave,https://www.geocaching.com/geocache/GC1Q3Z7_fishers-refrigerator-cave,N 45° 31.179,W 062° 36.709,Canada,Nova Scotia,Pictou,55,3,,,
GC1RJGC,Iron Ore Cave,https://www.geocaching.com/geocache/GC1RJGC_iron-ore-cave,N 45° 29.570,W 063° 29.816,Canada,Nova Scotia,Colchester,43,2,,,
GC1VHAZ,Phillips Mountain Cave,https://www.geocaching.com/geocache/GC1VHAZ_phillips-mountain-cave,N 46° 20.322,W 061° 01.247,Canada,Nova Scotia,Inverness,3,1,,,
GC1YBJD,Cape Dauphin Cave,https://www.geocaching.com/geocache/GC1YBJD_cape-dauphin-cave,N 46° 20.660,W 060° 25.632,Canada,Nova Scotia,Victoria (Nova Scotia),9,1,,,
GC23ZXD,A Smurfy Cave,https://www.geocaching.com/geocache/GC23ZXD_a-smurfy-cave,N 44° 42.989,W 063° 28.301,Canada,Nova Scotia,Halifax,62,3,,,
GC2724H,Cave on Old Liverpool Road,https://www.geocaching.com/geocache/GC2724H_cave-on-old-liverpool-road,N 44° 37.332,W 065° 00.787,Canada,Nova Scotia,Annapolis,64,3,,,
GC2AVA7,Woodville Ice Cave,https://www.geocaching.com/geocache/GC2AVA7_woodville-ice-cave,N 45° 01.932,W 063° 57.335,Canada,Nova Scotia,Hants,47,2,,,
GC2AZKN,Thumb Hill Cave,https://www.geocaching.com/geocache/GC2AZKN_thumb-hill-cave,N 44° 58.139,W 064° 01.486,Canada,Nova Scotia,Hants,93,4,,,
GC2E7C2,Hells Gateway Caves (in the cave),https://www.geocaching.com/geocache/GC2E7C2_hells-gateway-caves-in-the-cave,N 44° 59.238,W 064° 02.104,Canada,Nova Scotia,Hants,1,1,,,
GC2JQYC,Cheverie Cave,https://www.geocaching.com/geocache/GC2JQYC_cheverie-cave,N 45° 09.283,W 064° 10.629,Canada,Nova Scotia,Hants,63,3,,,
GC2MVKW,Cave,https://www.geocaching.com/geocache/GC2MVKW_cave,N 46° 08.673,W 060° 11.842,Canada,Nova Scotia,Cape Breton,44,2,,,
GC30ZGV,Dawson Mountain Land Bridge Cave,https://www.geocaching.com/geocache/GC30ZGV_dawson-mountain-land-bridge-cave,N 45° 12.389,W 062° 57.779,Canada,Nova Scotia,Colchester,11,1,,,
GC33KXC,Cache Highway #2 - Templar's Cave,https://www.geocaching.com/geocache/GC33KXC_cache-highway-2-templars-cave,N 44° 19.206,W 064° 36.398,Canada,Nova Scotia,Lunenburg,29,2,,,
GC34MD5,Urbania Cave,https://www.geocaching.com/geocache/GC34MD5_urbania-cave,N 45° 12.014,W 063° 25.518,Canada,Nova Scotia,Hants,14,1,,,
GC3FQ23,Bramber Shore Cave,https://www.geocaching.com/geocache/GC3FQ23_bramber-shore-cave,N 45° 09.906,W 064° 09.980,Canada,Nova Scotia,Hants,19,1,,,
GC3KN5B,Plaster Cave,https://www.geocaching.com/geocache/GC3KN5B_plaster-cave,N 45° 39.004,W 061° 23.768,Canada,Nova Scotia,Inverness,7,1,,,
GC3VFYW,Bat Cave Box,https://www.geocaching.com/geocache/GC3VFYW_bat-cave-box,N 44° 38.024,W 063° 37.987,Canada,Nova Scotia,Halifax,74,3,,,
GC45P5V,Hayes cave east,https://www.geocaching.com/geocache/GC45P5V_hayes-cave-east,N 45° 14.656,W 063° 31.412,Canada,Nova Scotia,Hants,11,1,,,
GC46322,On the way to Hayes cave,https://www.geocaching.com/geocache/GC46322_on-the-way-to-hayes-cave,N 45° 14.713,W 063° 31.716,Canada,Nova Scotia,Hants,6,1,,,
GC48X6J,Tree Cave,https://www.geocaching.com/geocache/GC48X6J_tree-cave,N 43° 48.910,W 065° 51.736,Canada,Nova Scotia,Yarmouth,2,1,,,
GC4QAJ4,Epic Keppoch - Teddy Bear Cave,https://www.geocaching.com/geocache/GC4QAJ4_epic-keppoch-teddy-bear-cave,N 45° 32.451,W 062° 06.724,Canada,Nova Scotia,Antigonish,34,2,,,
GC5HBYH,rock cave,https://www.geocaching.com/geocache/GC5HBYH_rock-cave,N 43° 55.032,W 065° 14.503,Canada,Nova Scotia,Shelburne,20,1,,,
GC5HW2G,snake cave,https://www.geocaching.com/geocache/GC5HW2G_snake-cave,N 43° 57.050,W 065° 15.618,Canada,Nova Scotia,Shelburne,13,1,,,
GC5XCCQ,Welcome to the Bear Cave,https://www.geocaching.com/geocache/GC5XCCQ_welcome-to-the-bear-cave,N 45° 37.795,W 062° 00.479,Canada,Nova Scotia,Antigonish,29,2,,,
GC6PJ9E,Bornish Road Cave,https://www.geocaching.com/geocache/GC6PJ9E_bornish-road-cave,N 45° 52.475,W 061° 19.034,Canada,Nova Scotia,Inverness,12,1,,,
GC7267R,tim's cave,https://www.geocaching.com/geocache/GC7267R_tims-cave,N 46° 36.308,W 060° 55.398,Canada,Nova Scotia,Inverness,1,1,,,
GC79EFN,Connors Brook Sea Cave,https://www.geocaching.com/geocache/GC79EFN_connors-brook-sea-cave,N 45° 04.098,W 065° 00.953,Canada,Nova Scotia,Kings (Nova Scotia),11,1,,,
GC7BX5M,The Man Cave,https://www.geocaching.com/geocache/GC7BX5M_the-man-cave,N 45° 01.659,W 062° 06.328,Canada,Nova Scotia,Guysborough,5,1,,,
GC89EHJ,A Pushkin style hide: Bramber Shore Cave,https://www.geocaching.com/geocache/GC89EHJ_a-pushkin-style-hide-bramber-shore-cave,N 45° 09.906,W 064° 09.980,Canada,Nova Scotia,Hants,4,1,,,
GCPJ7W,Malagash Mine: The Wheels of Time,https://www.geocaching.com/geocache/GCPJ7W_malagash-mine-the-wheels-of-time,N 45° 47.543,W 063° 19.738,Canada,Nova Scotia,Cumberland,140,6,,,
GCWNQK,Coal Mine Cliffs,https://www.geocaching.com/geocache/GCWNQK_coal-mine-cliffs,N 46° 06.953,W 061° 28.224,Canada,Nova Scotia,Inverness,8,1,,,
GCY535,Goldenville Gold Mine,https://www.geocaching.com/geocache/GCY535_goldenville-gold-mine,N 45° 07.372,W 062° 00.985,Canada,Nova Scotia,Guysborough,88,4,,,
GC11XX8,The Tin Mine (WTTB),https://www.geocaching.com/geocache/GC11XX8_the-tin-mine-wttb,N 44° 06.882,W 065° 41.259,Canada,Nova Scotia,Yarmouth,50,2,,,
GC184XA,The Old Mine,https://www.geocaching.com/geocache/GC184XA_the-old-mine,N 46° 14.217,W 060° 06.809,Canada,Nova Scotia,Cape Breton,21,1,,,
GC19200,Be Mine **Feb8**,https://www.geocaching.com/geocache/GC19200_be-mine-feb8,N 45° 58.808,W 059° 50.476,Canada,Nova Scotia,Cape Breton,37,2,,,
GC1AQXD,IMC No 4 P-CA Fire - 26 Coal Mine,https://www.geocaching.com/geocache/GC1AQXD_imc-no-4-pca-fire-26-coal-mine,N 46° 13.152,W 059° 58.382,Canada,Nova Scotia,Cape Breton,19,1,,,
GC1AYV5,Look Into Mine Eyes (CLARE Series),https://www.geocaching.com/geocache/GC1AYV5_look-into-mine-eyes-clare-series,N 44° 12.630,W 066° 06.343,Canada,Nova Scotia,Digby,61,3,,,
GC1F45W,SCATERIE ISLAND DAY TRIP,https://www.geocaching.com/geocache/GC1F45W_scaterie-island-day-trip,N 46° 00.415,W 059° 50.513,Canada,Nova Scotia,Cape Breton,13,1,,,
GC1F83G,The 'Ol Lead Mine Brook,https://www.geocaching.com/geocache/GC1F83G_the-ol-lead-mine-brook,N 45° 15.143,W 062° 07.001,Canada,Nova Scotia,Guysborough,4,1,,,
GC1HWA7,Kemptville Gold Mine,https://www.geocaching.com/geocache/GC1HWA7_kemptville-gold-mine,N 44° 03.083,W 065° 50.900,Canada,Nova Scotia,Yarmouth,30,2,,,
GC1PAY2,"""Abandoned Silica Mine """,https://www.geocaching.com/geocache/GC1PAY2_abandoned-silica-mine-,N 43° 51.738,W 066° 09.943,Canada,Nova Scotia,Yarmouth,42,2,,,
GC1RJGQ,Coal Mine Grave Yard,https://www.geocaching.com/geocache/GC1RJGQ_coal-mine-grave-yard,N 45° 28.871,W 063° 26.543,Canada,Nova Scotia,Colchester,46,2,,,
GC250PG,Strip Mine Road,https://www.geocaching.com/geocache/GC250PG_strip-mine-road,N 46° 10.491,W 060° 02.477,Canada,Nova Scotia,Cape Breton,28,2,,,
GC2640G,Old Copper Mine Cache,https://www.geocaching.com/geocache/GC2640G_old-copper-mine-cache,N 45° 18.507,W 064° 45.345,Canada,Nova Scotia,Cumberland,38,2,,,
GC2DGQQ,Eureka Mine,https://www.geocaching.com/geocache/GC2DGQQ_eureka-mine,N 45° 26.509,W 064° 02.650,Canada,Nova Scotia,Colchester,7,1,,,
GC2DY7H,Meat Cove Zinc Mine,https://www.geocaching.com/geocache/GC2DY7H_meat-cove-zinc-mine,N 47° 00.325,W 060° 35.340,Canada,Nova Scotia,Inverness,6,1,,,
GC2GEPB,New Lairg Mine Multi,https://www.geocaching.com/geocache/GC2GEPB_new-lairg-mine-multi,N 45° 27.680,W 062° 49.078,Canada,Nova Scotia,Pictou,21,1,,,
GC2W0NG,Tennecape Mine,https://www.geocaching.com/geocache/GC2W0NG_tennecape-mine,N 45° 15.229,W 063° 53.720,Canada,Nova Scotia,Hants,16,1,,,
GC2WVXE,Slack Brook Mine,https://www.geocaching.com/geocache/GC2WVXE_slack-brook-mine,N 45° 29.439,W 063° 30.818,Canada,Nova Scotia,Colchester,17,1,,,
GC2WVYE,Sheet Harbour Mine,https://www.geocaching.com/geocache/GC2WVYE_sheet-harbour-mine,N 44° 54.696,W 062° 32.350,Canada,Nova Scotia,Halifax,42,2,,,
GC2Z2NN,Old Mine Air Shaft,https://www.geocaching.com/geocache/GC2Z2NN_old-mine-air-shaft,N 46° 11.756,W 059° 56.413,Canada,Nova Scotia,Cape Breton,19,1,,,
GC332RD,Georgeville Mine,https://www.geocaching.com/geocache/GC332RD_georgeville-mine,N 45° 50.010,W 062° 01.081,Canada,Nova Scotia,Antigonish,26,2,,,
GC338VV,Loon Lake no Montigue Gold Mine,https://www.geocaching.com/geocache/GC338VV_loon-lake-no-montigue-gold-mine,N 44° 42.970,W 063° 30.258,Canada,Nova Scotia,Halifax,77,4,,,
GC3A0VX,Donkin Mine,https://www.geocaching.com/geocache/GC3A0VX_donkin-mine,N 46° 10.220,W 059° 51.046,Canada,Nova Scotia,Cape Breton,18,1,,,
GC3FQBM,Martin Brook Mine,https://www.geocaching.com/geocache/GC3FQBM_martin-brook-mine,N 45° 28.878,W 063° 37.389,Canada,Nova Scotia,Colchester,26,2,,,
GC5DRZR,Land Mine Cache,https://www.geocaching.com/geocache/GC5DRZR_land-mine-cache,N 45° 39.789,W 062° 00.124,Canada,Nova Scotia,Antigonish,14,1,,,
GC5WKNC,Gold Mine Road,https://www.geocaching.com/geocache/GC5WKNC_gold-mine-road,N 44° 36.651,W 064° 45.198,Canada,Nova Scotia,Lunenburg,3,1,,,
GC6FXX2,Kailey's Cache #3: Little Light of Mine,https://www.geocaching.com/geocache/GC6FXX2_kaileys-cache-3-little-light-of-mine,N 45° 07.630,W 064° 30.710,Canada,Nova Scotia,Kings (Nova Scotia),16,1,,,
GC7EMWD,The Lead Mine,https://www.geocaching.com/geocache/GC7EMWD_the-lead-mine,N 45° 15.163,W 062° 06.986,Canada,Nova Scotia,Guysborough,7,1,,,
GC7EMWN,Lead Mine Road,https://www.geocaching.com/geocache/GC7EMWN_lead-mine-road,N 45° 15.209,W 062° 06.656,Canada,Nova Scotia,Guysborough,8,1,,,
GC7Z1MG,Rawdon Gold Mine Falls,https://www.geocaching.com/geocache/GC7Z1MG_rawdon-gold-mine-falls,N 45° 03.308,W 063° 50.230,Canada,Nova Scotia,Hants,11,1,,,
GC800H1,Down The Mine,https://www.geocaching.com/geocache/GC800H1_down-the-mine,N 45° 38.001,W 064° 04.396,Canada,Nova Scotia,Cumberland,9,1,,,
GC89WP2,Moose River Gold Mine Park,https://www.geocaching.com/geocache/GC89WP2_moose-river-gold-mine-park,N 44° 59.233,W 062° 56.655,Canada,Nova Scotia,Halifax,3,1,,,
GC89YWE,Sterling mine,https://www.geocaching.com/geocache/GC89YWE_sterling-mine,N 45° 43.706,W 060° 26.234,Canada,Nova Scotia,Richmond,1,1,,,
GCG8PE,The Bat Cave,https://www.geocaching.com/geocache/GCG8PE_the-bat-cave,N 43° 31.934,W 079° 57.348,Canada,Ontario,Halton,182,8,,,
GCHH3Q,GNASHERS 02 - Tour of Cave Springs,https://www.geocaching.com/geocache/GCHH3Q_gnashers-02-tour-of-cave-springs,N 43° 09.009,W 079° 26.815,Canada,Ontario,Niagara,72,3,,,
GCJ1R3,Cedar Cave,https://www.geocaching.com/geocache/GCJ1R3_cedar-cave,N 43° 35.049,W 079° 36.937,Canada,Ontario,Peel,190,8,,,
GCJ4BH,On the Way to the Bat Cave 14 Yrs old,https://www.geocaching.com/geocache/GCJ4BH_on-the-way-to-the-bat-cave-14-yrs-old,N 43° 31.717,W 079° 57.398,Canada,Ontario,Halton,288,12,,,
GCJWAC,BEAR CAVE,https://www.geocaching.com/geocache/GCJWAC_bear-cave,N 45° 49.428,W 082° 08.632,Canada,Ontario,Manitoulin,24,1,,,
GCM6D4,Dave's Cave at the Crack,https://www.geocaching.com/geocache/GCM6D4_daves-cave-at-the-crack,N 43° 32.729,W 079° 57.265,Canada,Ontario,Halton,270,11,,,
GCTNHG,EOGF008 - Legend of Myers Cave,https://www.geocaching.com/geocache/GCTNHG_eogf008-legend-of-myers-cave,N 44° 50.195,W 077° 07.261,Canada,Ontario,Frontenac,62,3,,,
GCWEJ7,On the Way BACK from the BAT CAVE,https://www.geocaching.com/geocache/GCWEJ7_on-the-way-back-from-the-bat-cave,N 43° 31.370,W 079° 57.415,Canada,Ontario,Halton,114,5,,,
GCWTBF,CAVE IN!!!!!!!!!!!!!!,https://www.geocaching.com/geocache/GCWTBF_cave-in,N 44° 33.556,W 080° 57.223,Canada,Ontario,Grey,107,5,,,
GCWWYJ,Cave Falls,https://www.geocaching.com/geocache/GCWWYJ_cave-falls,N 43° 35.533,W 079° 32.968,Canada,Ontario,Peel,39,2,,,
GC12K71,Woodland TWINS,https://www.geocaching.com/geocache/GC12K71_woodland-twins,N 43° 10.081,W 080° 15.201,Canada,Ontario,Brant,44,2,,,
GC12X5W,Yellowstone Cave,https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave,N 43° 47.640,W 080° 00.652,Canada,Ontario,Peel,17,1,,,
GC13770,The Cave,https://www.geocaching.com/geocache/GC13770_the-cave,N 43° 55.697,W 079° 55.561,Canada,Ontario,Peel,98,4,,,
GC15ZQQ,Mossy Rock Cave,https://www.geocaching.com/geocache/GC15ZQQ_mossy-rock-cave,N 44° 32.122,W 080° 55.842,Canada,Ontario,Grey,151,7,,,
GC16D9Q,The Cave,https://www.geocaching.com/geocache/GC16D9Q_the-cave,N 46° 23.539,W 082° 38.650,Canada,Ontario,Algoma,41,2,,,
GC1DE9D,Bat Cave,https://www.geocaching.com/geocache/GC1DE9D_bat-cave,N 45° 30.755,W 079° 18.275,Canada,Ontario,Parry Sound,168,7,,,
GC1HJVH,Easy Cave,https://www.geocaching.com/geocache/GC1HJVH_easy-cave,N 43° 25.048,W 079° 52.019,Canada,Ontario,Halton,47,2,,,
GC1Q844,Wooden Cave Dweller,https://www.geocaching.com/geocache/GC1Q844_wooden-cave-dweller,N 43° 35.811,W 079° 37.737,Canada,Ontario,Peel,42,2,,,
GC1WA9R,Ally's Cave,https://www.geocaching.com/geocache/GC1WA9R_allys-cave,N 44° 28.086,W 080° 26.559,Canada,Ontario,Grey,1,1,,,
GC1XBDP,Critter's Cave?,https://www.geocaching.com/geocache/GC1XBDP_critters-cave,N 45° 27.847,W 076° 15.882,Canada,Ontario,Ottawa,147,6,,,
GC1Y55X,The Batting Cave,https://www.geocaching.com/geocache/GC1Y55X_the-batting-cave,N 43° 26.409,W 079° 46.446,Canada,Ontario,Halton,196,8,,,
GC1ZKM4,LEAP Lurks in the Cave,https://www.geocaching.com/geocache/GC1ZKM4_leap-lurks-in-the-cave,N 43° 28.247,W 079° 55.468,Canada,Ontario,Halton,85,4,,,
